UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords
1-s2.0-S1293255816300279-fx1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/fx1/THUMBNAIL/image/gif/667ab3056213b9dbc5929a69837578d9/fx1.sml,fx1.sml,"Crystal structure of Li1.1Cu0.9S. The metal sites, M, are occupied by randomly mixed Li and Cu atoms. The M1 site shows a slight site-occupation preference for Li atoms (Cu0.41,Li0.59). The M2 (Cu0.88,Li0.12) and M3 (Cu0.09,Li0.91) sites show a strong preferential site occupation for Cu and Li atoms, respectively.",https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-fx1.sml,0,
1-s2.0-S1293255816300279-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr1/THUMBNAIL/image/gif/6079319c55c86f1dffba1211e583d40d/gr1.sml,gr1.sml,Atomic environments for the four different crystallographic sites of Li1.1Cu0.9S at 293 K. Distances are given in Å.,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr1.sml,0,
1-s2.0-S1293255816300279-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr2/THUMBNAIL/image/gif/a761d90dbab370c125592d56cf57cf6a/gr2.sml,gr2.sml,"(left) Crystal structure of Li2S (a = 5.716 Å, Fm-3m, anti-CaF2 structure type) in unconventional setting emphasizing the atomic environment of S. (right) Hypothetical crystal structure of Li2S (P42/mcm), showing the same structural features of Li1.1Cu0.9S. The structure was obtained by moving Li from sites ½, ½, ¼ to ½, ½, 0.",https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr2.sml,0,
1-s2.0-S1293255816300279-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr3/THUMBNAIL/image/gif/7f616e830ad8b0eec28d019e75027479/gr3.sml,gr3.sml,"7Li solid-state NMR of Li1.1Cu0.9S. The two well-separated lines are assigned to Li2 with linear coordination by S and Li1, Li3, both tetrahedrally coordinated by S. Both the lines show a sizeable chemical shift anisotropy typical for the tetragonal symmetry.",https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr3.sml,0,
1-s2.0-S1293255816300279-gr4.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr4/THUMBNAIL/image/gif/b5e8ca5981277cb1922817336d18734c/gr4.sml,gr4.sml,Band structure of Li1.1Cu0.9S calculated using the PBE functional and CPA alloy theory.,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr4.sml,0,
1-s2.0-S1293255816300279-gr5.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr5/THUMBNAIL/image/gif/ab93d4838bb2517d3defe12fa816dbbd/gr5.sml,gr5.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr5.sml,0,
1-s2.0-S1293255816300279-fx1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/fx1/DOWNSAMPLED/image/jpeg/6c114c2201e66de010323d545debeb20/fx1.jpg,fx1.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-fx1_lrg.jpg,0,
1-s2.0-S1293255816300279-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr1/DOWNSAMPLED/image/jpeg/c298bf30a1c0378c399d678b7d99626c/gr1.jpg,gr1.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr1_lrg.jpg,0,
1-s2.0-S1293255816300279-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr2/DOWNSAMPLED/image/jpeg/1dba461e1a369482ea63c512dbb2700f/gr2.jpg,gr2.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr2_lrg.jpg,0,
1-s2.0-S1293255816300279-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr3/DOWNSAMPLED/image/jpeg/ada87333e0112f0eb6a875fb26f36455/gr3.jpg,gr3.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr3_lrg.jpg,0,
1-s2.0-S1293255816300279-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr4/DOWNSAMPLED/image/jpeg/057c6e6d9c67677eab2384e9856b61cf/gr4.jpg,gr4.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr4_lrg.jpg,0,
1-s2.0-S1293255816300279-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr5/DOWNSAMPLED/image/jpeg/d91b06ec54e0e3d4d249d571be6c0a52/gr5.jpg,gr5.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr5_lrg.jpg,0,
1-s2.0-S1293255816300279-fx1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/fx1/HIGHRES/image/jpeg/66e44fc631616c7b537af91336a952c7/fx1_lrg.jpg,fx1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-fx1_lrg_lrg.jpg,0,
1-s2.0-S1293255816300279-gr1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr1/HIGHRES/image/jpeg/47d4b63a5e12806fdac9f324ec515f87/gr1_lrg.jpg,gr1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr1_lrg_lrg.jpg,0,
1-s2.0-S1293255816300279-gr2_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr2/HIGHRES/image/jpeg/e1a5be1f420f1af1fec0185b88a77e22/gr2_lrg.jpg,gr2_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr2_lrg_lrg.jpg,0,
1-s2.0-S1293255816300279-gr3_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1293255816300279/gr3/HIGHRES/image/jpeg/01d9bb9a5e3be5e5700e64e4aba1af92/gr3_lrg.jpg,gr3_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1293255816300279-gr3_lrg_lrg.jpg,0,
