UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S2352152X23020339-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr2/DOWNSAMPLED/image/jpeg/4396a0a7790c50c432e4ca8ec3cbe5c4/gr2.jpg,gr2.jpg,3D computer aided design (CAD) render of experimental set-up.,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr2_lrg.jpg,0,,,,,
1-s2.0-S2352152X23020339-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr3/DOWNSAMPLED/image/jpeg/344b60f451cf821e328fe119b1c10e09/gr3.jpg,gr3.jpg,Schematics of (a) the internal arrangement of the cell within the test chamber and (b) the experimental set-up including the degassing loop and electrical connections.,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr3_lrg.jpg,0,,,,,
1-s2.0-S2352152X23020339-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr4/DOWNSAMPLED/image/jpeg/53853c730d1c22162ba7cf2d4d7c0776/gr4.jpg,gr4.jpg,"(a) Average surface temperature rise of the ANR26650M1B cell under constant current discharge rates of 1C – 10C with respect to initial cell temperature for preheated immersion conditions, and (b) corresponding voltage profiles of the cell.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr4_lrg.jpg,1,"voltage, current, discharge",0.0,"(D) 2

-1C - Single Phase

-2C - Single Phase 17.5
-3C - Single Phase
-4C - Single Phase 15
__ 12.5
\S)
— 10
i
<q

7.5

2.5

 

4 Pemnati 0 = = eae .
0 O01 02 03 0.4 0.5 0.6 0.7 08 09 1 0 O21 0.2 0.3 0.4 0.5 0.6 0.7 08 09 1
DOD DOD
",,0.0
1-s2.0-S2352152X23020339-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr5/DOWNSAMPLED/image/jpeg/25f03adbe05d119d019d1794bee57eb6/gr5.jpg,gr5.jpg,"Temperature rise of the ANR26650M1B cell under (a) single phase liquid immersion cooling and (b) natural convection air cooling, in comparison to liquid preheating (solid lines) for constant current discharge rates of 1C – 4C.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr5_lrg.jpg,1,"current, discharge",0.0,"ly

—2C

—4C

—6C

— 8C

—10C

- - -4C - Single Phase

i

=
oo

=
_

Axial Temperature Difference[“C]
S eS
iN a

 

0 O01 02 03 04 0.5 0.6 0.7 08 0.9 1
DOD
",,0.0
1-s2.0-S2352152X23020339-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr1/DOWNSAMPLED/image/jpeg/97b63e55b4b414bb0494f45615e9939b/gr1.jpg,gr1.jpg,"Maximum measured cell surface temperature difference across the ANR26650M1B cell during discharge for preheated liquid immersion, single phase liquid immersion, and natural convection air cooling conditions.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr1_lrg.jpg,1,discharge,0.0," 
",,0.0
1-s2.0-S2352152X23020339-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr6/DOWNSAMPLED/image/jpeg/7925fd335c64a54251c32c8dc5215ddb/gr6.jpg,gr6.jpg,Average surface temperature change of the ANR26650M1B cell under CC-CV charge rates of 1C – 4C with respect to initial cell temperature for preheated immersion conditions.,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr6_lrg.jpg,1,charge,0.0,"ATIC]

0.2
0 0.1 02 03 0.4 05 0.6 0.7 0.8 0.9
SOC

 

1

1.1
",,0.0
1-s2.0-S2352152X23020339-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr7/DOWNSAMPLED/image/jpeg/9a7fb43336f74d7f1edc4a725ff9c630/gr7.jpg,gr7.jpg,"(a) Voltage profiles of the ANR26650M1B cell under CC-CV charge rates of 1C – 4C for preheated immersion conditions, and (b) corresponding current profiles of the cell.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr7_lrg.jpg,1,"voltage, current, charge",2.0," 

2.8
0 01 02 03 04 05 0.6 0.7 08 09 1 1.1
SOC

Current [A]

 

0
0 01 02 03 04 05 0.6 0.7 08 09 1 1.1
SOC
",current,1.0
1-s2.0-S2352152X23020339-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr8/DOWNSAMPLED/image/jpeg/dc799341683551cbb5988241cb3b704e/gr8.jpg,gr8.jpg,"Comparison with the work of Li et al. [45] for 3C CC-CV charging of the ANR26650M1B cell under preheating immersion conditions, illustrating (a) voltage and current profile and (b) average surface temperature rise.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr8_lrg.jpg,1,"voltage, current",2.0,"Voltage [V]

Voltage

- - -Voltage - Li et al. [45]

Current
- - —Current - Liet al. [45]

 

0
200 400 600 800 1000 1200 1400 1600
Time [s]

Current Study
- - -Liet al. [45]

 

200 400 600 800 1000 1200 1400 1600
Time [s]

Current [A]
","voltage, current",1.0
1-s2.0-S2352152X23020339-gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr9/DOWNSAMPLED/image/jpeg/e4818152ce3bf9153fde7dbb97394319/gr9.jpg,gr9.jpg,"Temperature rise of the ANR26650M1B cell under preheated immersion, single phase immersion and natural convection air cooling conditions at a charging rate of 1C.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr9_lrg.jpg,0,,,,,
1-s2.0-S2352152X23020339-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X23020339/gr2/THUMBNAIL/image/gif/bdf02b7cba678e7da91b5e7d7ffad4b2/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X23020339-gr2.sml,0,,,,,
