UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords
1-s2.0-S2542435118304021-gr3.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr3/THUMBNAIL/image/gif/c1a1abfbf0dd6fa22b5f821b4c0d14e6/gr3.sml,gr3.sml,Schematic Illustration of ASB,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr3.sml,0,
1-s2.0-S2542435118304021-gr1.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr1/THUMBNAIL/image/gif/3b031be101594f4531d942c9681c9173/gr1.sml,gr1.sml,Schematic Illustrations of Thermodynamic Calculations,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr1.sml,0,
1-s2.0-S2542435118304021-gr10.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr10/THUMBNAIL/image/gif/e99e906c5ebfadf8f76820d253b79a98/gr10.sml,gr10.sml,Li-Ion Diffusion Pathways in LGPS,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr10.sml,0,
1-s2.0-S2542435118304021-gr11.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr11/THUMBNAIL/image/gif/d0b8fb1992abbfe4240d6ca928d9e58f/gr11.sml,gr11.sml,Diffusion Mechanisms in Super-Ionic Conductors,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr11.sml,0,
1-s2.0-S2542435118304021-gr6.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr6/THUMBNAIL/image/gif/98d20f9449a4eb8ee50c4068b3d5340a/gr6.sml,gr6.sml,Schematic Workflow of Computational Materials Design,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr6.sml,0,
1-s2.0-S2542435118304021-gr7.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr7/THUMBNAIL/image/gif/b8d3855e7cd2995c9d0860da75b4861c/gr7.sml,gr7.sml,Electrochemical Stability of LGPS Solid Electrolyte,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr7.sml,0,
1-s2.0-S2542435118304021-gr4.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr4/THUMBNAIL/image/gif/477bf5e9c3f694883f8e61f0fb391b7d/gr4.sml,gr4.sml,Thermodynamic Intrinsic Electrochemical Stability Windows,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr4.sml,0,
1-s2.0-S2542435118304021-gr2.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr2/THUMBNAIL/image/gif/219a1200fd3ae3a13b3ebb440ae10d65/gr2.sml,gr2.sml,"Stability Trends in Li-M-X Ternary Compounds (M = cation, X = N, O, S, or F)",https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr2.sml,0,
1-s2.0-S2542435118304021-gr5.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr5/THUMBNAIL/image/gif/165657205f747b9838f925a9519010f5/gr5.sml,gr5.sml,Stability and Interphase Formation at the Solid Electrolyte-Electrode Interface,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr5.sml,0,
1-s2.0-S2542435118304021-gr8.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr8/THUMBNAIL/image/gif/432a9decde4ec0e066f56fd75aff4bb1/gr8.sml,gr8.sml,Illustration of Different Types of Li Metal-SE Interfaces,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr8.sml,0,
1-s2.0-S2542435118304021-gr9.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr9/THUMBNAIL/image/gif/75c5d80423b1ffcd9d8e6f5463195fe2/gr9.sml,gr9.sml,Interface Engineering in ASBs,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr9.sml,0,
1-s2.0-S2542435118304021-gr3.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr3/DOWNSAMPLED/image/jpeg/f4b2a5656be73dcdd17bd024d51db1b8/gr3.jpg,gr3.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr3_lrg.jpg,0,
1-s2.0-S2542435118304021-gr1.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr1/DOWNSAMPLED/image/jpeg/61d625702fef39a54b87976eb7f308e9/gr1.jpg,gr1.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr1_lrg.jpg,0,
1-s2.0-S2542435118304021-gr10.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr10/DOWNSAMPLED/image/jpeg/7e83ae0c57820c2e5b8f6e11f2ba21dd/gr10.jpg,gr10.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr10_lrg.jpg,0,
1-s2.0-S2542435118304021-gr11.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr11/DOWNSAMPLED/image/jpeg/225d88da7d9e279c1034a1113afac0cc/gr11.jpg,gr11.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr11_lrg.jpg,0,
1-s2.0-S2542435118304021-gr6.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr6/DOWNSAMPLED/image/jpeg/3a76ac6924568602793f7bd02a0a30a2/gr6.jpg,gr6.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr6_lrg.jpg,0,
1-s2.0-S2542435118304021-gr7.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr7/DOWNSAMPLED/image/jpeg/b2267a662647461c83d0934b400ad3a8/gr7.jpg,gr7.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr7_lrg.jpg,0,
1-s2.0-S2542435118304021-gr4.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr4/DOWNSAMPLED/image/jpeg/c58030fdf337614e799623c0fb4ddece/gr4.jpg,gr4.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr4_lrg.jpg,0,
1-s2.0-S2542435118304021-gr2.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr2/DOWNSAMPLED/image/jpeg/403e8eed227c937231061086ffd7a8c9/gr2.jpg,gr2.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr2_lrg.jpg,0,
1-s2.0-S2542435118304021-gr5.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr5/DOWNSAMPLED/image/jpeg/16315b1cf86adee7a3074ced2cb5482d/gr5.jpg,gr5.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr5_lrg.jpg,0,
1-s2.0-S2542435118304021-gr8.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr8/DOWNSAMPLED/image/jpeg/394b623dbac24464e904396907773edd/gr8.jpg,gr8.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr8_lrg.jpg,0,
1-s2.0-S2542435118304021-gr9.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S2542435118304021/gr9/DOWNSAMPLED/image/jpeg/edfffa25413c39ccf155ace6c573abe5/gr9.jpg,gr9.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2542435118304021-gr9_lrg.jpg,0,
