UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords
1-s2.0-S2666248521000044-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr3/DOWNSAMPLED/image/jpeg/80bd213176d590efc3cb5d8f2f51ed88/gr3.jpg,gr3.jpg,"(a) Schematic of the X-ray CT cell: 1. Upper stainless-steel rod, 2. Sample, 3. PEEK cylinder, 4. Lower stainless-steel rod, 5. Spring, 6. Duralumin body, 7. Screw. (b) Numerical model measured using X-ray CT in the experiment (zirconia volume ratio of 60%).",https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr3_lrg.jpg,0,
1-s2.0-S2666248521000044-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr2/DOWNSAMPLED/image/jpeg/c0ee8d7206dd12bab8bf974cccd360be/gr2.jpg,gr2.jpg,(a) Strain as a function of stress. (b) Young's modulus as a function of stress. (c) Ionic conductivity as a function of stress measured in the experiment.,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr2_lrg.jpg,0,
1-s2.0-S2666248521000044-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr1/DOWNSAMPLED/image/jpeg/9f3213902d1cb1b68afba04513877681/gr1.jpg,gr1.jpg,Experimental and numerical results at an applied pressure of 200 MPa. (a) Strain of dummy electrode as a function of zirconia ratio. (b) Relative ionic conductivity as a function of zirconia ratio normalized by ionic conductivity with zirconia ratio of 0%.,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr1_lrg.jpg,0,
1-s2.0-S2666248521000044-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr4/DOWNSAMPLED/image/jpeg/ea68abdebf782f63fc5f3ccc816f9082/gr4.jpg,gr4.jpg,"Numerical results of (a) material distribution, (b) stress, and (c) ionic conductivity distributions of composites with zirconia ratio of 30% and 60%.",https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr4_lrg.jpg,0,
1-s2.0-S2666248521000044-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr3/THUMBNAIL/image/gif/4855954ea42004c4be4599047ae9612d/gr3.sml,gr3.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr3.sml,0,
1-s2.0-S2666248521000044-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr2/THUMBNAIL/image/gif/23bc422e6ae56fcb12a23bb92711f20f/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr2.sml,0,
1-s2.0-S2666248521000044-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr1/THUMBNAIL/image/gif/366c67f0b17444e7ab124d3beb2e098e/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr1.sml,0,
1-s2.0-S2666248521000044-gr4.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/gr4/THUMBNAIL/image/gif/13ab3883d74fd0741915de0a45aacdc9/gr4.sml,gr4.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-gr4.sml,0,
1-s2.0-S2666248521000044-si9.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/STRIPIN/image/svg+xml/012f5dc67a3de7b2db01f675e747a0b7/si9.svg,si9.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-si9.svg,0,
1-s2.0-S2666248521000044-si7.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/STRIPIN/image/svg+xml/678d7cba833442941942c74c25596e44/si7.svg,si7.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-si7.svg,0,
1-s2.0-S2666248521000044-si2.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/STRIPIN/image/svg+xml/4a4cbdd1d9dafa928e2a7a913c3190bd/si2.svg,si2.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-si2.svg,0,
1-s2.0-S2666248521000044-si6.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248521000044/STRIPIN/image/svg+xml/1ce1e6a33cc289fe33d3c7e1e81a8e00/si6.svg,si6.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248521000044-si6.svg,0,
