UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S0026271425001982-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr6/DOWNSAMPLED/image/jpeg/bcc2d59117b588741a750ad8d6e7d64a/gr6.jpg,gr6.jpg,The evolution of current for (a) cell#1 (b) cell#3.,https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr6_lrg.jpg,1,current,2.0,"(Vv)

min

 

   

 

 

 

3.4}
cH
3.2) ---C#2
——c#3
—o—CH#4
3 L 1 1 4
0 500 1000 1500

Total discharged capacity throughput (Ah)
",capacity,1.0
1-s2.0-S0026271425001982-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr5/DOWNSAMPLED/image/jpeg/1c86fb63c5dcf31ec4f8fab36f485c9d/gr5.jpg,gr5.jpg,"Comparison of the capacity loss versus discharged Ah throughput, for the two cycling protocols.",https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr5_lrg.jpg,1,capacity,0.0,"(@ (b)
C#1 fresh / 4

C#2 fresh /
—-—-= C#2 aged /

 

 

>

—-—= C#1 aged /

«Im (mQ)
ND

o

 

-Im (mQ)

C#4 fresh
=== C#4 aged

C#8 fresh
—-—= C#3 aged

  

Re (m2)
",,0.0
1-s2.0-S0026271425001982-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr7/DOWNSAMPLED/image/jpeg/b6f0ace2a730001de5b0fa09422a3d0b/gr7.jpg,gr7.jpg,Comparison of Rdch increase versus discharged.,https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr7_lrg.jpg,0,,,,,
1-s2.0-S0026271425001982-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr2/DOWNSAMPLED/image/jpeg/d6f4751f6e45fbf6b8af0766109d0acf/gr2.jpg,gr2.jpg,"Cell impedance at 0 °C: a) EIS plot at 50 % SOC, b) evolution of cell#1 impedance under P1, c) evolution of cell#4 impedance under P2, d) evolution of ohmic resistance.",https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr2_lrg.jpg,1,"impedance, plot",2.0," 

5000

t
a
o
So

Capacity (mAh)
S
Oo

 

 

 

3500 '
0 500 1000 1500

Total discharged capacity throughput (Ah)
",capacity,1.0
1-s2.0-S0026271425001982-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr1/DOWNSAMPLED/image/jpeg/56961bcc3b8b5db8bb8b8758587867c3/gr1.jpg,gr1.jpg,"EIS spectra of fresh and cycled cells (a), (b) under P1 and (c), (d) under P2 at 25 °C and SOC50%, ranging from 2 kHz to 100 mHz.",https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr1_lrg.jpg,0,,,,,
1-s2.0-S0026271425001982-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr4/DOWNSAMPLED/image/jpeg/06a5a889dbd95df15283500b2cc86eb1/gr4.jpg,gr4.jpg,Evolution of the discharge cut-off voltage vs total discharged capacity throughput.,https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr4_lrg.jpg,1,"capacity, voltage, discharge",2.0,"a43
E 9 ‘o
£

(a)

High frequency

 

Middle frequency

  

Low frequency

   
  

fransition

 

lonic and Charge transfer Solid
electronic and ion migration diffusion
conductions through SEI
23.4 37.4
Re (mQ)

(c)

 

 

 

 

30

50

(b)

 

 

 

 

 

 

 

 

400 800

Cycle

600

0 200
",charge,1.0
1-s2.0-S0026271425001982-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr3/DOWNSAMPLED/image/jpeg/380efd05cf94d4557258a6fd3cd8d5fa/gr3.jpg,gr3.jpg,Evolution of the cell temperature vs total discharged capacity throughput.,https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr3_lrg.jpg,1,capacity,2.0," 

aS
oO

Resistance (mQ)
wo
oa

 

wo
oO

 

 

 

0 500 1000 1500
Total discharged capacity throughput (Ah)
",capacity,1.0
1-s2.0-S0026271425001982-gr6.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr6/THUMBNAIL/image/gif/f54a4b5aed991d711c8b594849c09abb/gr6.sml,gr6.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr6.sml,0,,,,,
1-s2.0-S0026271425001982-gr5.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr5/THUMBNAIL/image/gif/367bc00973526f12920859490fd16fbb/gr5.sml,gr5.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr5.sml,0,,,,,
1-s2.0-S0026271425001982-gr7.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0026271425001982/gr7/THUMBNAIL/image/gif/899e990065a981af0a367a396f1c56ea/gr7.sml,gr7.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0026271425001982-gr7.sml,0,,,,,
