UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S138824811300444X-gr2.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S138824811300444X/gr2/DOWNSAMPLED/image/jpeg/c5645fcbfa6f53d099ec936f9d9d46d0/gr2.jpg,gr2.jpg,"XRD pattern (red) and refinement (blue) of as-prepared NaNi1/3Co1/3Fe1/3O2. The broad peaks between 10° and 30° are due to the Kapton film. The red and blue lines represent the experimental and calculated data respectively. The residual discrepancy is shown in black. The refinement is performed in the R-3m space group and results in Rwp =1.91%, and χ2 =13.76. Particle morphology is observed by SEM analysis.",https://ars.els-cdn.com/content/image/1-s2.0-S138824811300444X-gr2_lrg.jpg,0,,,,,
1-s2.0-S138824811300444X-gr1.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S138824811300444X/gr1/DOWNSAMPLED/image/jpeg/c89a87956b5be8cf8bd6380247fdaf88/gr1.jpg,gr1.jpg,"(a) Voltage profile of NaNi1/3Co1/3Fe1/3O2 for multiple cycles at C/20 and cyclic performance at C/20, C/10 and C/5 as an inset. The cells are galvanostatically cycled between 2.0 and 4.2V. (b) Rate-capability of NaNi1/3Co1/3Fe1/3O2 in Na cells. The cells were charged to 4.2V at a rate of C/20 and then discharged at different rates; C/20 (11.86mA/g)–30C (7116mA/g). The sample loading of the active material was 2.18mg/cm2. (c) Comparison between the experimental second voltage profile (red) and calculated composition-averaged voltages (black) of NaNi1/3Co1/3Fe1/3O2.",https://ars.els-cdn.com/content/image/1-s2.0-S138824811300444X-gr1_lrg.jpg,1,voltage,1.0,,,0.0
1-s2.0-S138824811300444X-gr2.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S138824811300444X/gr2/THUMBNAIL/image/gif/f9596e8b8071f011852bca7a698e1f72/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S138824811300444X-gr2.sml,0,,,,,
1-s2.0-S138824811300444X-gr1.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S138824811300444X/gr1/THUMBNAIL/image/gif/4ae5144f2e63538dd10ba1e352d439ee/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S138824811300444X-gr1.sml,0,,,,,
