UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S2666248523000124-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr4/DOWNSAMPLED/image/jpeg/404237bf230fc3d072c84f76fb4e3f08/gr4.jpg,gr4.jpg,"X-ray CT images of electrodes with solid electrolytes having D50LPS of (a) 1, (b) 2 and (c) 6 μm. Legend: red = AM, yellow = SE. The values for various structural parameters for each D50LPS: (d) tortuosity of the active material, (e) tortuosity of the solid electrolyte and (f) diameter of the AM-specific contact area. (For interpretation of the references to color in this figure legend, the reader is referred to the Web version of this article.)",https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr4_lrg.jpg,0,,,,,
1-s2.0-S2666248523000124-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr3/DOWNSAMPLED/image/jpeg/6e6bb616ee3b7cc4d2b74b7de9d2a085/gr3.jpg,gr3.jpg,"(a)–(c) Discharge capacities and (d)–(e) absolute differences between experimental and simulated capacities (Δ Capacity) as functions of C-rates. These data were acquired (a) experimentally, (b) (d) using simulations involving AM median diameters, and (c) (e) using simulations incorporating DSCA values.",https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr3_lrg.jpg,1,"capacity, discharge",2.0,"Experiments P2D simulation with Day = D50 P2D simulation with Day = Dsca

 
  
  

 
  
  

    
  

  

S82 38 43 318 g02 —91¢
5°44 D50, ps = = 2um ——1¢ ! 5°44 D50, ps = = 2um —1¢ : 5.4 D50i ps = 2um 1C
23.8 — 2c '2328 —2e 1338 — 2¢
S 3.6 & 3.6 & 3.6
93.4 | @ 3.4 | 53.4
wo *e | oO *e ! © *e
90 150 200! 0 20 150 200 ! 0 20 150 200
Capacity imAh/ol ! Capacity imAb/ol ! Capacity imAhlal

—=
oO
—
—
oO
—
",capacity,1.0
1-s2.0-S2666248523000124-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr2/DOWNSAMPLED/image/jpeg/13f442bafd7447c83f4d9f2d0d0bd2db/gr2.jpg,gr2.jpg,"Discharge curves acquired from (a) experiments, (b) simulations involving AM median diameters, and (c) simulations involving AM-specific contact area diameters for 2-μm solid electrolyte particles.",https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr2_lrg.jpg,1,discharge,2.0,"Experiments

  

_200 —_ D50, ps=1 um!
=4 50 oo D50; ps =2um: &
- —_—— D50,_ps=6um: &
=100
‘oO
5. 50
O

0

107 10!

10°
C-rate

—
©

)

P2D simulation with Day = D50

 
   

 

 

 

 

—
ao
—

200 —e— 50, pg=1)m!
—@e— D50; ps=2um!

< 150 —e— D50,ps=6um!
5100
2 !
= 50 :
O !
0 piniu |

10"" 10° 10!
C-rate

—* D50,ps=1 pm;
—*— D50, ps=2um:

107 —*— D50,ps=6pam:

A Capacity[mAh/g]
oO

—_~
oO.
—

P2D simulation with Day = Dsca

 
   

_200 —e— D50, pc=4 1m
4 50 —— D50, ps=Z2um
- —— D50, ps=6um
>100

8

& 50

O

10° 10° 4101

C-rate

—_o— D50, ps=1 pm
—o— D50; ps=2um

_10? —e 150, ps=6um
5)
=
<<
£
2101
£10
G
&
wo
O
110°
10"" 10° 10!
C-rate
",capacity,1.0
1-s2.0-S2666248523000124-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr1/DOWNSAMPLED/image/jpeg/3681c257be324e91350dd34d671bf116/gr1.jpg,gr1.jpg,"Li concentration distributions at the end of discharge obtained using AM median diameters in conjunction with SE particle sizes of (a) D50LPS = 1 μm, (b) D50LPS = 2 μm and (c) D50LPS = 6 μm, and using DSCA values with SE particle sizes of (d) D50LPS = 1 μm, (e) D50LPS = 2 μm and (f) D50LPS = 6 μm.",https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr1_lrg.jpg,1,discharge,0.0,"Ga Active Material Solid Electrolyte

DIO aI ss Desa

 

-_-=_~
£

  

Ww

N

1.61 1.51

=

oO
OM HSH aN aw a &

—

Ww

On

CT measured tan

D50: ps D50;ps D50ips
=1um = =2um = =6um

~~
a
—

 
 

 

(b)
4- 3.56
3.21

235 2.92
So
© 25
a 2
® 1.5
E 4
5 0.5

D50ips D50ips D50ips

=1um =2um = =6um

(e)

 

 

16.1
15 12.3

Dsca [nm]
°

 

D50ips D50ips_

D50: ps
=2um =6um

=1nm
",,0.0
1-s2.0-S2666248523000124-gr4.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr4/THUMBNAIL/image/gif/ab9029e0df6bda1582a4a5733590d4e9/gr4.sml,gr4.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr4.sml,0,,,,,
1-s2.0-S2666248523000124-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr3/THUMBNAIL/image/gif/1e90e18a63bb5d97fc3a7aa1289040dc/gr3.sml,gr3.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr3.sml,0,,,,,
1-s2.0-S2666248523000124-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr2/THUMBNAIL/image/gif/911ec8bef67632a2181e5153473d0f3b/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr2.sml,0,,,,,
1-s2.0-S2666248523000124-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/gr1/THUMBNAIL/image/gif/c2592f1ca7a006888a8d7e1b7789ec4e/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr1.sml,0,,,,,
1-s2.0-S2666248523000124-gr4_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/HIGHRES/image/jpeg/d32be2e9453bb98d34c6be793121098a/gr4_lrg.jpg,gr4_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr4_lrg_lrg.jpg,0,,,,,
1-s2.0-S2666248523000124-gr3_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2666248523000124/HIGHRES/image/jpeg/45452a3d9523847f6fb4aa0b248a5987/gr3_lrg.jpg,gr3_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2666248523000124-gr3_lrg_lrg.jpg,0,,,,,
