Authors,Author full names,Author(s) ID,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Ren Y.; Zuo X.,"Ren, Yang (7403274395); Zuo, Xiaobing (7103215858)",7403274395; 7103215858,2018,101,10.1002/SMTD.201800064,https://www.scopus.com/pages/publications/85125084484?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Locorotondo E.; Cultrera V.; Pugi L.; Berzi L.; Pierini M.; Lutzemberger G.,"Locorotondo, Edoardo (57204584883); Cultrera, Vincenzo (57218479257); Pugi, Luca (6506926785); Berzi, Lorenzo (55559976500); Pierini, Marco (16639396200); Lutzemberger, Giovanni (36514995600)",57204584883; 57218479257; 6506926785; 55559976500; 16639396200; 36514995600,2021,115,10.1016/j.est.2021.102566,https://www.scopus.com/pages/publications/85105694481?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Shen H.; Wang H.; Li M.; Li C.; Zhang Y.; Li Y.; Yang X.; Feng X.; Ouyang M.,"Shen, Hengjie (58130725800); Wang, Hewu (55941476100); Li, Minghai (35205769100); Li, Cheng (59841738800); Zhang, Yajun (59822155900); Li, Yalun (57208249523); Yang, Xinwei (58130654300); Feng, Xuning (55084333300); Ouyang, Minggao (7007149577)",58130725800; 55941476100; 35205769100; 59841738800; 59822155900; 57208249523; 58130654300; 55084333300; 7007149577,2023,117,10.3390/electronics12071603,https://www.scopus.com/pages/publications/85152942562?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Binninger T.; Marcolongo A.; Mottet M.; Weber V.; Laino T.,"Binninger, Tobias (56030498200); Marcolongo, Aris (56912179200); Mottet, Matthieu (56119010300); Weber, Valéry (7005235316); Laino, Teodoro (23989284300)",56030498200; 56912179200; 56119010300; 7005235316; 23989284300,2020,97,10.1039/c9ta09401f,https://www.scopus.com/pages/publications/85078704881?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhao W.; Luo G.; Wang C.-Y.,"Zhao, Wei (58833363800); Luo, Gang (36178089400); Wang, Chao-Yang (56798730600)",58833363800; 36178089400; 56798730600,2015,175,10.1149/2.1071501jes,https://www.scopus.com/pages/publications/84923821788?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Jia Y.; Li J.; Yuan C.; Gao X.; Yao W.; Lee M.; Xu J.,"Jia, Yikai (57201839964); Li, Jiani (57192271736); Yuan, Chunhao (57203941669); Gao, Xiang (57198547936); Yao, Weiran (57217341075); Lee, Minwoo (56558871800); Xu, Jun (57196733680)",57201839964; 57192271736; 57203941669; 57198547936; 57217341075; 56558871800; 57196733680,2021,111,10.1002/aenm.202003868,https://www.scopus.com/pages/publications/85102961062?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Saw L.H.; Poon H.M.; Thiam H.S.; Cai Z.; Chong W.T.; Pambudi N.A.; King Y.J.,"Saw, Lip Huat (55791543200); Poon, Hiew Mun (55905652700); Thiam, Hui San (37003956000); Cai, Zuansi (57194785912); Chong, Wen Tong (36448921500); Pambudi, Nugroho Agung (37028993700); King, Yeong Jin (57191246274)",55791543200; 55905652700; 37003956000; 57194785912; 36448921500; 37028993700; 57191246274,2018,295,10.1016/j.apenergy.2018.04.042,https://www.scopus.com/pages/publications/85046335434?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Nguyen T.-T.; Demortière A.; Fleutot B.; Delobel B.; Delacourt C.; Cooper S.J.,"Nguyen, Tuan-Tu (57218531737); Demortière, Arnaud (18436799300); Fleutot, Benoit (23993818700); Delobel, Bruno (58399905900); Delacourt, Charles (7006682739); Cooper, Samuel J. (56595734000)",57218531737; 18436799300; 23993818700; 58399905900; 7006682739; 56595734000,2020,154,10.1038/s41524-020-00386-4,https://www.scopus.com/pages/publications/85089409314?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Tian J.; Rao Y.; Shi W.; Yang J.; Ning W.; Li H.; Yao Y.; Zhou H.; Guo S.,"Tian, Jiaming (57222961078); Rao, Yuan (57189071316); Shi, Wenhui (58926433200); Yang, Jiawei (58545596800); Ning, Wenjie (58623105100); Li, Haoyu (57263939700); Yao, Yonggang (56714395700); Zhou, Haoshen (7404742301); Guo, Shaohua (55957441700)",57222961078; 57189071316; 58926433200; 58545596800; 58623105100; 57263939700; 56714395700; 7404742301; 55957441700,2023,164,10.1002/anie.202310894,https://www.scopus.com/pages/publications/85172669233?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Hou Z.; Tan H.; Gao Y.; Li M.; Lu Z.; Zhang B.,"Hou, Zhen (57220927531); Tan, Hong (57201429570); Gao, Yao (55768045700); Li, Menghu (57215922713); Lu, Ziheng (56982112900); Zhang, Biao (56192442600)",57220927531; 57201429570; 55768045700; 57215922713; 56982112900; 56192442600,2020,182,10.1039/d0ta06622b,https://www.scopus.com/pages/publications/85092212995?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Gautam A.; Sadowski M.; Ghidiu M.; Minafra N.; Senyshyn A.; Albe K.; Zeier W.G.,"Gautam, Ajay (57212316605); Sadowski, Marcel (57192413112); Ghidiu, Michael (55673214200); Minafra, Nicolò (57200200771); Senyshyn, Anatoliy (14828464300); Albe, Karsten (6701384822); Zeier, Wolfgang G. (26636229700)",57212316605; 57192413112; 55673214200; 57200200771; 14828464300; 6701384822; 26636229700,2021,117,10.1002/aenm.202003369,https://www.scopus.com/pages/publications/85098223804?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Panchal S.; Dincer I.; Agelin-Chaab M.; Fraser R.; Fowler M.,"Panchal, S. (56136636100); Dincer, I. (56278550500); Agelin-Chaab, M. (36994531600); Fraser, R. (7402280137); Fowler, M. (7202512208)",56136636100; 56278550500; 36994531600; 7402280137; 7202512208,2016,240,10.1016/j.ijheatmasstransfer.2016.05.126,https://www.scopus.com/pages/publications/84973890841?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhang R.; Xia B.; Li B.; Cao L.; Lai Y.; Zheng W.; Wang H.; Wang W.; Wang M.,"Zhang, Ruifeng (55613242798); Xia, Bizhong (7102762297); Li, Baohua (35558856100); Cao, Libo (7401637957); Lai, Yongzhi (57026793200); Zheng, Weiwei (55375667600); Wang, Huawen (57200280420); Wang, Wei (59769222200); Wang, Mingwang (56486230500)",55613242798; 7102762297; 35558856100; 7401637957; 57026793200; 55375667600; 57200280420; 59769222200; 56486230500,2018,220,10.3390/en11092408,https://www.scopus.com/pages/publications/85053927000?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Uddin K.; Moore A.D.; Barai A.; Marco J.,"Uddin, Kotub (56950425000); Moore, Andrew D. (57189713617); Barai, Anup (56151829100); Marco, James (16305142700)",56950425000; 57189713617; 56151829100; 16305142700,2016,213,10.1016/j.apenergy.2016.06.033,https://www.scopus.com/pages/publications/84974831699?origin=resultslist,passed_stage1,"charge, capacity, discharge, current, voltage",dropped_stage2,,dropped — no OCR keywords (stage 2)
Lu X.; Li G.; Kim J.Y.; Mei D.; Lemmon J.P.; Sprenkle V.L.; Liu J.,"Lu, Xiaochuan (16022197000); Li, Guosheng (8304011600); Kim, Jin Y. (36105105400); Mei, Donghai (7005968630); Lemmon, John P. (56767836200); Sprenkle, Vincent L. (8849055900); Liu, Jun (56407047400)",16022197000; 8304011600; 36105105400; 7005968630; 56767836200; 8849055900; 56407047400,2014,159,10.1038/ncomms5578,https://www.scopus.com/pages/publications/84905482228?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Yao K.P.C.; Okasinski J.S.; Kalaga K.; Shkrob I.A.; Abraham D.P.,"Yao, Koffi P. C. (45162104400); Okasinski, John S. (6507529509); Kalaga, Kaushik (55757300000); Shkrob, Ilya A. (35594699300); Abraham, Daniel P. (7201845097)",45162104400; 6507529509; 55757300000; 35594699300; 7201845097,2019,180,10.1039/c8ee02373e,https://www.scopus.com/pages/publications/85061938482?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu H.; Chen Y.; Hy S.; An K.; Venkatachalam S.; Qian D.; Zhang M.; Meng Y.S.,"Liu, Haodong (55747735800); Chen, Yan (57196267491); Hy, Sunny (55516788600); An, Ke (8607663900); Venkatachalam, Subramanian (58863140300); Qian, Danna (55180816600); Zhang, Minghao (56025755800); Meng, Ying Shirley (56122470500)",55747735800; 57196267491; 55516788600; 8607663900; 58863140300; 55180816600; 56025755800; 56122470500,2016,132,10.1002/aenm.201502143,https://www.scopus.com/pages/publications/84964612680?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Michan A.L.; Leskes M.; Grey C.P.,"Michan, Alison L. (55771066600); Leskes, Michal (14822198100); Grey, Clare P. (7006250961)",55771066600; 14822198100; 7006250961,2016,199,10.1021/acs.chemmater.5b04408,https://www.scopus.com/pages/publications/84954449356?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Shodiev A.; Chouchane M.; Gaberscek M.; Arcelus O.; Xu J.; Oularbi H.; Yu J.; Li J.; Morcrette M.; Franco A.A.,"Shodiev, Abbos (57214880036); Chouchane, Mehdi (57209574916); Gaberscek, Miran (7004391419); Arcelus, Oier (56674646000); Xu, Jiahui (57423344300); Oularbi, Hassan (57254137600); Yu, Jia (57460911600); Li, Jianlin (55883344000); Morcrette, Mathieu (7004554183); Franco, Alejandro A. (57198188522)",57214880036; 57209574916; 7004391419; 56674646000; 57423344300; 57254137600; 57460911600; 55883344000; 7004554183; 57198188522,2022,95,10.1016/j.ensm.2022.01.058,https://www.scopus.com/pages/publications/85125009920?origin=resultslist,passed_stage1,"discharge, current, impedance, plot",passed_stage2,"capacity, specific capacity",relevant
Nickol A.; Schied T.; Heubner C.; Schneider M.; Michaelis A.; Bobeth M.; Cuniberti G.,"Nickol, A. (57195430358); Schied, T. (36464236700); Heubner, C. (55568046700); Schneider, M. (56440326400); Michaelis, A. (7006015136); Bobeth, M. (7003608812); Cuniberti, G. (56273831400)",57195430358; 36464236700; 55568046700; 56440326400; 7006015136; 7003608812; 56273831400,2020,240,10.1149/1945-7111/ab9404,https://www.scopus.com/pages/publications/85086026731?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Oh K.-Y.; Epureanu B.I.,"Oh, Ki-Yong (35305648500); Epureanu, Bogdan I. (7004479790)",35305648500; 7004479790,2016,99,10.1016/j.jpowsour.2015.10.085,https://www.scopus.com/pages/publications/84946615332?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Qi J.; Banerjee S.; Zuo Y.; Chen C.; Zhu Z.; Holekevi Chandrappa M.L.; Li X.; Ong S.P.,"Qi, J. (57221344221); Banerjee, S. (56946999600); Zuo, Y. (57213490413); Chen, C. (57840930400); Zhu, Z. (57212868484); Holekevi Chandrappa, M.L. (57224923780); Li, X. (56328766800); Ong, S.P. (57203196608)",57221344221; 56946999600; 57213490413; 57840930400; 57212868484; 57224923780; 56328766800; 57203196608,2021,104,10.1016/j.mtphys.2021.100463,https://www.scopus.com/pages/publications/85110775021?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Li R.; Xu S.; Li S.; Zhou Y.; Zhou K.; Liu X.; Yao J.,"Li, Ran (56174775900); Xu, Shihui (57214221005); Li, Sibo (57204660347); Zhou, Yongqin (55178160100); Zhou, Kai (55725418900); Liu, Xianzhong (57214223472); Yao, Jie (57208682849)",56174775900; 57214221005; 57204660347; 55178160100; 55725418900; 57214223472; 57208682849,2020,95,10.1109/ACCESS.2020.2964852,https://www.scopus.com/pages/publications/85078460938?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Hein S.; Danner T.; Westhoff D.; Prifling B.; Scurtu R.; Kremer L.; Hoffmann A.; Hilger A.; Osenberg M.; Manke I.; Wohlfahrt-Mehrens M.; Schmidt V.; Latz A.,"Hein, Simon (56938156000); Danner, Timo (55634313400); Westhoff, Daniel (56458083300); Prifling, Benedikt (57203623330); Scurtu, Rares (57212167270); Kremer, Lea (57207471968); Hoffmann, Alice (57200093184); Hilger, André (7003584818); Osenberg, Markus (55986811300); Manke, Ingo (8360555200); Wohlfahrt-Mehrens, Margret (55903285200); Schmidt, Volker (58723110300); Latz, Arnulf (55892543200)",56938156000; 55634313400; 56458083300; 57203623330; 57212167270; 57207471968; 57200093184; 7003584818; 55986811300; 8360555200; 55903285200; 58723110300; 55892543200,2020,164,10.1149/1945-7111/ab6b1d,https://www.scopus.com/pages/publications/85080830224?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Lu J.; Xiong R.; Tian J.; Wang C.; Sun F.,"Lu, Jiahuan (57191626893); Xiong, Rui (57201315780); Tian, Jinpeng (57191632323); Wang, Chenxu (57862492600); Sun, Fengchun (7401804038)",57191626893; 57201315780; 57191632323; 57862492600; 7401804038,2023,319,10.1038/s41467-023-38458-w,https://www.scopus.com/pages/publications/85159181690?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Hossain M.; Haque M.E.; Arif M.T.,"Hossain, M. (57217309684); Haque, M.E. (57207955012); Arif, M.T. (56370858600)",57217309684; 57207955012; 56370858600,2022,231,10.1016/j.est.2022.104174,https://www.scopus.com/pages/publications/85125728775?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Xia B.; Sun Z.; Zhang R.; Lao Z.,"Xia, Bizhong (7102762297); Sun, Zhen (57195590747); Zhang, Ruifeng (55613242798); Lao, Zizhou (57195592465)",7102762297; 57195590747; 55613242798; 57195592465,2017,106,10.3390/en10040457,https://www.scopus.com/pages/publications/85028955576?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
LePage W.S.; Chen Y.; Kazyak E.; Chen K.-H.; Sanchez A.J.; Poli A.; Arruda E.M.; Thouless M.D.; Dasgupta N.P.,"LePage, William S. (55509482800); Chen, Yuxin (57211056012); Kazyak, Eric (56721312800); Chen, Kuan-Hung (57194076145); Sanchez, Adrian J. (57194080934); Poli, Andrea (57219323507); Arruda, Ellen M. (7004935671); Thouless, M.D. (24327624800); Dasgupta, Neil P. (26423520400)",55509482800; 57211056012; 56721312800; 57194076145; 57194080934; 57219323507; 7004935671; 24327624800; 26423520400,2019,305,10.1149/2.0221902jes,https://www.scopus.com/pages/publications/85065343674?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Nolan A.M.; Zhu Y.; He X.; Bai Q.; Mo Y.,"Nolan, Adelaide M. (57204625096); Zhu, Yizhou (56824591300); He, Xingfeng (56703875200); Bai, Qiang (57195715608); Mo, Yifei (16302025600)",57204625096; 56824591300; 56703875200; 57195715608; 16302025600,2018,367,10.1016/j.joule.2018.08.017,https://www.scopus.com/pages/publications/85056386055?origin=resultslist,dropped_stage1,,not_processed_stage2,,dropped — no caption keywords (stage 1)
Raju M.M.; Altayran F.; Johnson M.; Wang D.; Zhang Q.,"Raju, Md Mozammal (58545806900); Altayran, Fadhilah (58545662100); Johnson, Michael (57202312488); Wang, Danling (56103015100); Zhang, Qifeng (59858281800)",58545806900; 58545662100; 57202312488; 56103015100; 59858281800,2021,95,10.3390/electrochem2030026,https://www.scopus.com/pages/publications/85120755966?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Shu X.; Shen J.; Li G.; Zhang Y.; Chen Z.; Liu Y.,"Shu, Xing (57197828252); Shen, Jiangwei (57188754732); Li, Guang (57188641035); Zhang, Yuanjian (57195407199); Chen, Zheng (56941076900); Liu, Yonggang (55906213600)",57197828252; 57188754732; 57188641035; 57195407199; 56941076900; 55906213600,2021,193,10.1109/TTE.2021.3074638,https://www.scopus.com/pages/publications/85104619963?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhang Z.; Li H.; Kaup K.; Zhou L.; Roy P.-N.; Nazar L.F.,"Zhang, Zhizhen (55948961000); Li, Hui (56986780200); Kaup, Kavish (57023831600); Zhou, Laidong (57204874886); Roy, Pierre-Nicholas (7402231449); Nazar, Linda F. (7004384886)",55948961000; 56986780200; 57023831600; 57204874886; 7402231449; 7004384886,2020,122,10.1016/j.matt.2020.04.027,https://www.scopus.com/pages/publications/85085342820?origin=resultslist,dropped_stage1,,not_processed_stage2,,dropped — no caption keywords (stage 1)
Ngandjong A.C.; Lombardo T.; Primo E.N.; Chouchane M.; Shodiev A.; Arcelus O.; Franco A.A.,"Ngandjong, Alain C. (57189221690); Lombardo, Teo (57508497700); Primo, Emiliano N. (55653926500); Chouchane, Mehdi (57209574916); Shodiev, Abbos (57214880036); Arcelus, Oier (56674646000); Franco, Alejandro A. (57198188522)",57189221690; 57508497700; 55653926500; 57209574916; 57214880036; 56674646000; 57198188522,2021,214,10.1016/j.jpowsour.2020.229320,https://www.scopus.com/pages/publications/85098077466?origin=resultslist,passed_stage1,"capacity, impedance, discharge, current, specific capacity, curve",passed_stage2,"capacity, specific capacity",relevant
Alvarado J.; Schroeder M.A.; Zhang M.; Borodin O.; Gobrogge E.; Olguin M.; Ding M.S.; Gobet M.; Greenbaum S.; Meng Y.S.; Xu K.,"Alvarado, Judith (56542859900); Schroeder, Marshall A. (55681447300); Zhang, Minghao (56025755800); Borodin, Oleg (7005249025); Gobrogge, Eric (56002292700); Olguin, Marco (56868782600); Ding, Michael S. (7202280949); Gobet, Mallory (26429342600); Greenbaum, Steve (7005459332); Meng, Ying Shirley (56122470500); Xu, Kang (7403281775)",56542859900; 55681447300; 56025755800; 7005249025; 56002292700; 56868782600; 7202280949; 26429342600; 7005459332; 56122470500; 7403281775,2018,358,10.1016/j.mattod.2018.02.005,https://www.scopus.com/pages/publications/85045418437?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Niu Y.; Teng X.; Gong S.; Xu M.; Sun S.-G.; Chen Z.,"Niu, Yanli (57191478372); Teng, Xue (57226287328); Gong, Shuaiqi (57202956152); Xu, Mingze (57220920323); Sun, Shi-Gang (7404510197); Chen, Zuofeng (22936679300)",57191478372; 57226287328; 57202956152; 57220920323; 7404510197; 22936679300,2021,131,10.1007/s40820-021-00650-2,https://www.scopus.com/pages/publications/85105805966?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Bradford G.; Lopez J.; Ruza J.; Stolberg M.A.; Osterude R.; Johnson J.A.; Gomez-Bombarelli R.; Shao-Horn Y.,"Bradford, Gabriel (58083590400); Lopez, Jeffrey (55657525000); Ruza, Jurgis (57200221628); Stolberg, Michael A. (57200297907); Osterude, Richard (58083910200); Johnson, Jeremiah A. (35490458900); Gomez-Bombarelli, Rafael (57200423629); Shao-Horn, Yang (7004165716)",58083590400; 55657525000; 57200221628; 57200297907; 58083910200; 35490458900; 57200423629; 7004165716,2023,116,10.1021/ACSCENTSCI.2C01123,https://www.scopus.com/pages/publications/85147127212?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Wu X.; Li X.; Du J.,"Wu, Xiaogang (55908737500); Li, Xuefeng (57204077588); Du, Jiuyu (25927812500)",55908737500; 57204077588; 25927812500,2018,95,10.1109/ACCESS.2018.2860050,https://www.scopus.com/pages/publications/85050732346?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Marbella L.E.; Evans M.L.; Groh M.F.; Nelson J.; Griffith K.J.; Morris A.J.; Grey C.P.,"Marbella, Lauren E. (26639001000); Evans, Matthew L. (57202744390); Groh, Matthias F. (26767840600); Nelson, Joseph (56532905800); Griffith, Kent J. (36903146100); Morris, Andrew J. (57211064308); Grey, Clare P. (7006250961)",26639001000; 57202744390; 26767840600; 56532905800; 36903146100; 57211064308; 7006250961,2018,106,10.1021/jacs.8b04183,https://www.scopus.com/pages/publications/85049183995?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhang Y.-Q.; Tian Y.; Xiao Y.; Miara L.J.; Aihara Y.; Tsujimura T.; Shi T.; Scott M.C.; Ceder G.,"Zhang, Ya-Qian (56902094200); Tian, Yaosen (57195061087); Xiao, Yihan (57193623371); Miara, Lincoln J. (23482027900); Aihara, Yuichi (7102574275); Tsujimura, Tomoyuki (59889057300); Shi, Tan (57193493586); Scott, M.C. (55286006200); Ceder, Gerbrand (7006338051)",56902094200; 57195061087; 57193623371; 23482027900; 7102574275; 59889057300; 57193493586; 55286006200; 7006338051,2020,113,10.1002/aenm.201903778,https://www.scopus.com/pages/publications/85085948940?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Ehrl A.; Landesfeind J.; Wall W.A.; Gasteiger H.A.,"Ehrl, Andreas (55498667100); Landesfeind, Johannes (56938852300); Wall, Wolfgang A. (7006297692); Gasteiger, Hubert A. (7003315043)",55498667100; 56938852300; 7006297692; 7003315043,2017,102,10.1149/2.1131704jes,https://www.scopus.com/pages/publications/85020238433?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Ma X.; Chen M.; Zheng Z.; Bullen D.; Wang J.; Harrison C.; Gratz E.; Lin Y.; Yang Z.; Zhang Y.; Wang F.; Robertson D.; Son S.-B.; Bloom I.; Wen J.; Ge M.; Xiao X.; Lee W.-K.; Tang M.; Wang Q.; Fu J.; Zhang Y.; Sousa B.C.; Arsenault R.; Karlson P.; Simon N.; Wang Y.,"Ma, Xiaotu (57204112170); Chen, Mengyuan (57189854693); Zheng, Zhangfeng (55340493700); Bullen, Dennis (57213689348); Wang, Jun (60146778400); Harrison, Chloe (57218168898); Gratz, Eric (55212561900); Lin, Yulin (57219569059); Yang, Zhenzhen (57189304794); Zhang, Youtian (57221363004); Wang, Fan (57196297285); Robertson, David (56767488600); Son, Seoung-Bum (37071528600); Bloom, Ira (7004823563); Wen, Jianguo (7402702198); Ge, Mingyuan (20433477400); Xiao, Xianghui (15057199500); Lee, Wah-Keat (57192671198); Tang, Ming (10739506200); Wang, Qiang (57221577112); Fu, Jinzhao (57223893717); Zhang, Yubin (57194690821); Sousa, Bryer C. (57217851242); Arsenault, Renata (55428192300); Karlson, Peter (56369569100); Simon, Nakia (57211786500); Wang, Yan (57193818352)",57204112170; 57189854693; 55340493700; 57213689348; 60146778400; 57218168898; 55212561900; 57219569059; 57189304794; 57221363004; 57196297285; 56767488600; 37071528600; 7004823563; 7402702198; 20433477400; 15057199500; 57192671198; 10739506200; 57221577112; 57223893717; 57194690821; 57217851242; 55428192300; 56369569100; 57211786500; 57193818352,2021,157,10.1016/j.joule.2021.09.005,https://www.scopus.com/pages/publications/85117388338?origin=resultslist,dropped_stage1,,not_processed_stage2,,dropped — no caption keywords (stage 1)
Román-Ramírez L.A.; Marco J.,"Román-Ramírez, L.A. (36651329400); Marco, J. (16305142700)",36651329400; 16305142700,2022,129,10.1016/j.apenergy.2022.119305,https://www.scopus.com/pages/publications/85131119386?origin=resultslist,passed_stage1,"capacity, discharge",dropped_stage2,,dropped — no OCR keywords (stage 2)
Dixit M.B.; Zaman W.; Hortance N.; Vujic S.; Harkey B.; Shen F.; Tsai W.-Y.; De Andrade V.; Chen X.C.; Balke N.; Hatzell K.B.,"Dixit, Marm B. (56401591400); Zaman, Wahid (57211187386); Hortance, Nicholas (57211193951); Vujic, Stella (57213003480); Harkey, Brice (57201982492); Shen, Fengyu (56090824500); Tsai, Wan-Yu (57202199596); De Andrade, Vincent (14218940900); Chen, X. Chelsea (40360991500); Balke, Nina (12789685700); Hatzell, Kelsey B. (55336668000)",56401591400; 57211187386; 57211193951; 57213003480; 57201982492; 56090824500; 57202199596; 14218940900; 40360991500; 12789685700; 55336668000,2020,127,10.1016/j.joule.2019.11.015,https://www.scopus.com/pages/publications/85077503006?origin=resultslist,dropped_stage1,,not_processed_stage2,,dropped — no caption keywords (stage 1)
Nayl A.A.; Elkhashab R.A.; Badawy S.M.; El-Khateeb M.A.,"Nayl, A.A. (26031084600); Elkhashab, R.A. (56113462500); Badawy, Sayed M. (7006892074); El-Khateeb, M.A. (16416718700)",26031084600; 56113462500; 7006892074; 16416718700,2017,206,10.1016/j.arabjc.2014.04.001,https://www.scopus.com/pages/publications/84937818854?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Pharr M.; Suo Z.; Vlassak J.J.,"Pharr, Matt (59864019900); Suo, Zhigang (57203199871); Vlassak, Joost J. (6701892349)",59864019900; 57203199871; 6701892349,2014,115,10.1016/j.jpowsour.2014.07.153,https://www.scopus.com/pages/publications/84906076400?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Li S.; Xu Q.; Uchaker E.; Cao X.; Cao G.,"Li, Shuang (57224918406); Xu, Qian (58440887000); Uchaker, Evan (48761960700); Cao, Xi (55861073700); Cao, Guozhong (26643390000)",57224918406; 58440887000; 48761960700; 55861073700; 26643390000,2016,197,10.1039/c5ce02069g,https://www.scopus.com/pages/publications/84963595171?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhang C.; Li K.; Deng J.; Song S.,"Zhang, Cheng (56241467900); Li, Kang (36072845200); Deng, Jing (36157744400); Song, Shiji (13310063000)",56241467900; 36072845200; 36157744400; 13310063000,2017,115,10.1109/TIE.2016.2610398,https://www.scopus.com/pages/publications/85006957074?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Mevawalla A.; Panchal S.; Tran M.-K.; Fowler M.; Fraser R.,"Mevawalla, Anosh (57220953246); Panchal, Satyam (56136636100); Tran, Manh-Kien (57212680108); Fowler, Michael (7202512208); Fraser, Roydon (7402280137)",57220953246; 56136636100; 57212680108; 7202512208; 7402280137,2020,113,10.3390/batteries6040061,https://www.scopus.com/pages/publications/85097941224?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Sikkabut S.; Mungporn P.; Ekkaravarodome C.; Bizon N.; Tricoli P.; Nahid-Mobarakeh B.; Pierfederici S.; Davat B.; Thounthong P.,"Sikkabut, Suwat (35435966000); Mungporn, Pongsiri (36651613100); Ekkaravarodome, Chainarin (24605220200); Bizon, Nicu (22936824500); Tricoli, Pietro (7801598536); Nahid-Mobarakeh, Babak (6506255291); Pierfederici, Serge (6602568684); Davat, Bernard (56229071300); Thounthong, Phatiphat (10938924300)",35435966000; 36651613100; 24605220200; 22936824500; 7801598536; 6506255291; 6602568684; 56229071300; 10938924300,2016,127,10.1109/TIA.2016.2581138,https://www.scopus.com/pages/publications/84988864835?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Chen R.; Nolan A.M.; Lu J.; Wang J.; Yu X.; Mo Y.; Chen L.; Huang X.; Li H.,"Chen, Rusong (57212023191); Nolan, Adelaide M. (57204625096); Lu, Jiaze (57200760650); Wang, Junyang (57200025029); Yu, Xiqian (25523001600); Mo, Yifei (16302025600); Chen, Liquan (26643213300); Huang, Xuejie (7410245309); Li, Hong (56090680100)",57212023191; 57204625096; 57200760650; 57200025029; 25523001600; 16302025600; 26643213300; 7410245309; 56090680100,2020,341,10.1016/j.joule.2020.03.012,https://www.scopus.com/pages/publications/85082872540?origin=resultslist,dropped_stage1,,not_processed_stage2,,dropped — no caption keywords (stage 1)
Ouyang C.Y.; Shi S.Q.; Lei M.S.,"Ouyang, C.Y. (7102425043); Shi, S.Q. (55513668300); Lei, M.S. (14037851300)",7102425043; 55513668300; 14037851300,2009,213,10.1016/j.jallcom.2008.06.123,https://www.scopus.com/pages/publications/61649085018?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Pouraghajan F.; Knight H.; Wray M.; Mazzeo B.; Subbaraman R.; Christensen J.; Wheeler D.,"Pouraghajan, Fezzeh (57209328263); Knight, Hannah (57209329478); Wray, Michael (57196710898); Mazzeo, Brian (16066928300); Subbaraman, Ram (8522561400); Christensen, Jake (26632843700); Wheeler, Dean (57203030537)",57209328263; 57209329478; 57196710898; 16066928300; 8522561400; 26632843700; 57203030537,2018,99,10.1149/2.0611811jes,https://www.scopus.com/pages/publications/85065165076?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
