Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Biasiori-Poulanges L.; Lukić B.; Supponen O.,"Biasiori-Poulanges, Luc (57212027965); Lukić, Bratislav (57023726200); Supponen, Outi (56557124400)",57212027965; 57023726200; 56557124400,Cavitation cloud formation and surface damage of a model stone in a high-intensity focused ultrasound field,2024,18,10.1016/j.ultsonch.2023.106738,https://www.scopus.com/pages/publications/85181101152?origin=resultslist,passed_stage1,"acoustic, wave, amplitude, frequency",passed_stage2,frequency,relevant
Abeid B.A.; Fabiilli M.L.; Estrada J.B.; Aliabouzar M.,"Abeid, Bachir A. (57200001595); Fabiilli, Mario L. (6505672385); Estrada, Jonathan B. (56950093300); Aliabouzar, Mitra (57191091428)",57200001595; 6505672385; 56950093300; 57191091428,"Ultra-high-speed dynamics of acoustic droplet vaporization in soft biomaterials: Effects of viscoelasticity, frequency, and bulk boiling point",2024,16,10.1016/j.ultsonch.2024.106754,https://www.scopus.com/pages/publications/85184994131?origin=resultslist,passed_stage1,acoustic,passed_stage2,acoustic,relevant
Cardozo de Oliveira E.R.; Xiang C.; Esmann M.; Lopez Abdala N.; Fuertes M.C.; Bruchhausen A.; Pastoriza H.; Perrin B.; Soler-Illia G.J.A.A.; Lanzillotti-Kimura N.D.,"Cardozo de Oliveira, E.R. (56943488400); Xiang, C. (58033117600); Esmann, M. (26654045200); Lopez Abdala, N. (57214718640); Fuertes, M.C. (13407207100); Bruchhausen, A. (6507248031); Pastoriza, H. (8294190900); Perrin, B. (57211220818); Soler-Illia, G.J.A.A. (57211558847); Lanzillotti-Kimura, N.D. (8324451300)",56943488400; 58033117600; 26654045200; 57214718640; 13407207100; 6507248031; 8294190900; 57211220818; 57211558847; 8324451300,Probing gigahertz coherent acoustic phonons in TiO2 mesoporous thin films,2023,17,10.1016/j.pacs.2023.100472,https://www.scopus.com/pages/publications/85150051389?origin=resultslist,passed_stage1,"spectrum, acoustic, amplitude, frequency",passed_stage2,"amplitude, frequency",relevant
Chen W.-S.; Chen Z.-Y.; Chang J.Y.; Chen C.-Y.; Zeng Y.-P.,"Chen, Wen-Shing (7409642779); Chen, Zi-Yin (57443220400); Chang, J.Y. (57443408900); Chen, Chao-Yuh (57444180500); Zeng, Yun-Pei (57443024800)",7409642779; 57443220400; 57443408900; 57444180500; 57443024800,"Ultrasound-assisted desalination of crude oil: The influence of mixing extent, crude oil species, chemical demulsifier and operation variables",2022,17,10.1016/j.ultsonch.2022.105947,https://www.scopus.com/pages/publications/85124248804?origin=resultslist,passed_stage1,acoustic,passed_stage2,acoustic,relevant
Zawada T.; Bove T.,"Zawada, Tomasz (6603169616); Bove, Torsten (7003369210)",6603169616; 7003369210,Strongly Focused HIFU Transducers With Simultaneous Optical Observation for Treatment of Skin at 20 MHz,2022,15,10.1016/j.ultrasmedbio.2022.03.002,https://www.scopus.com/pages/publications/85127880642?origin=resultslist,passed_stage1,acoustic,passed_stage2,acoustic,relevant
Yamakawa R.; Onoe H.; Kurashina Y.,"Yamakawa, Ryuto (59426409700); Onoe, Hiroaki (7004964617); Kurashina, Yuta (55979592600)",59426409700; 7004964617; 55979592600,Hydrogel carrier with bubble vibration enhancer for ultrasound-triggered drug release,2025,13,10.1016/j.ultsonch.2024.107173,https://www.scopus.com/pages/publications/85210314876?origin=resultslist,passed_stage1,"acoustic, frequency",passed_stage2,frequency,relevant
Wang Y.; Zhang Z.; Li Y.; Jiang H.; Kumah Mintah B.; Dabbour M.; He R.; Ma H.,"Wang, Yang (57193712722); Zhang, Zhaoli (57201679344); Li, Yihe (57207953451); Jiang, Hui (58405429600); Kumah Mintah, Benjamin (57214083068); Dabbour, Mokhtar (57202015352); He, Ronghai (8976387000); Ma, Haile (9335378300)",57193712722; 57201679344; 57207953451; 58405429600; 57214083068; 57202015352; 8976387000; 9335378300,Lysinoalanine formation and conformational characteristics of rice dreg protein isolates by multi-frequency countercurrent S-type sonochemical action,2020,14,10.1016/j.ultsonch.2020.105257,https://www.scopus.com/pages/publications/85088022473?origin=resultslist,passed_stage1,"spectrum, frequency",passed_stage2,frequency,relevant
Dong F.; An J.; Guo W.; Dang J.; Huang S.; Feng F.; Zhang J.; Wang D.; Yin J.; Fang J.; Cheng H.; Zhang J.,"Dong, Feihong (57201820437); An, Jian (57213148571); Guo, Wenyu (57220924579); Dang, Jie (57201652133); Huang, Shuo (57213153554); Feng, Feng (59438831700); Zhang, Jiabin (57206850015); Wang, Di (57200855590); Yin, Jingyi (57213154695); Fang, Jing (57206956352); Cheng, Heping (57316200300); Zhang, Jue (7601340874)",57201820437; 57213148571; 57220924579; 57201652133; 57213153554; 59438831700; 57206850015; 57200855590; 57213154695; 57206956352; 57316200300; 7601340874,Programmable ultrasound imaging guided theranostic nanodroplet destruction for precision therapy of breast cancer,2024,13,10.1016/j.ultsonch.2024.106854,https://www.scopus.com/pages/publications/85189014534?origin=resultslist,passed_stage1,"acoustic, wavelength, wave",passed_stage2,"acoustic, wavelength",relevant
Osika M.; Kijanka P.,"Osika, Mariusz (57222069230); Kijanka, Piotr (55602747100)",57222069230; 55602747100,Ultrasound Shear Wave Propagation Modeling in General Tissue–Like Viscoelastic Materials,2024,15,10.1016/j.ultrasmedbio.2024.01.008,https://www.scopus.com/pages/publications/85184172179?origin=resultslist,passed_stage1,wave,passed_stage2,"hz, amplitude, frequency",relevant
Lin W.; Xiao J.; Wen J.; Wang S.,"Lin, Weixiang (57233115500); Xiao, Juan (57193763653); Wen, Jian (7402701864); Wang, Simin (16231850000)",57233115500; 57193763653; 7402701864; 16231850000,Identification approach of acoustic cavitation via frequency spectrum of sound pressure wave signals in numerical simulation,2022,15,10.1016/j.ultsonch.2022.106182,https://www.scopus.com/pages/publications/85139323133?origin=resultslist,passed_stage1,"spectrum, amplitude, frequency",passed_stage2,amplitude,relevant
Seya P.M.; Desjouy C.; Béra J.-C.; Inserra C.,"Seya, Pauline Muleki (59211880500); Desjouy, Cyril (35145672400); Béra, Jean-Christophe (35613597200); Inserra, Claude (35221597500)",59211880500; 35145672400; 35613597200; 35221597500,Hysteresis of inertial cavitation activity induced by fluctuating bubble size distribution,2015,14,10.1016/j.ultsonch.2015.05.036,https://www.scopus.com/pages/publications/84934958493?origin=resultslist,passed_stage1,"acoustic, spectrum",passed_stage2,acoustic,relevant
Kirchner T.; Villringer C.; Laufer J.,"Kirchner, Thomas (60199218400); Villringer, Claus (56768233500); Laufer, Jan (7005864579)",60199218400; 56768233500; 7005864579,Evaluation of ultrasound sensors for transcranial photoacoustic sensing and imaging,2023,12,10.1016/j.pacs.2023.100556,https://www.scopus.com/pages/publications/85172023615?origin=resultslist,passed_stage1,"acoustic, wave, amplitude, frequency",passed_stage2,amplitude,relevant
Haghi H.; Kolios M.C.,"Haghi, Hossein (57188641908); Kolios, Michael C. (7004146000)",57188641908; 7004146000,Numerical investigation of the effect of bubble properties on the linear resonance frequency shift due to inter-bubble interactions in ultrasonically excited lipid coated microbubbles,2024,11,10.1016/j.ultsonch.2024.106831,https://www.scopus.com/pages/publications/85186600646?origin=resultslist,passed_stage1,"wave, amplitude, frequency",passed_stage2,frequency,relevant
Bielas R.; Jameel B.; Józefczak A.,"Bielas, Rafał (57208500779); Jameel, Bassam (57223033163); Józefczak, Arkadiusz (6602612206)",57208500779; 57223033163; 6602612206,Monitoring of Pickering emulsion stability during magnetic heating using ultrasound measurements,2021,12,10.1016/j.measurement.2021.109431,https://www.scopus.com/pages/publications/85104594069?origin=resultslist,passed_stage1,attenuation,passed_stage2,attenuation,relevant
Beckwith C.; Djambazov G.; Pericleous K.; Tonry C.,"Beckwith, Christopher (57195643973); Djambazov, Georgi (6507627800); Pericleous, Koulis (7005495330); Tonry, Catherine (54931084200)",57195643973; 6507627800; 7005495330; 54931084200,Comparison of frequency domain and time domain methods for the numerical simulation of contactless ultrasonic cavitation,2022,12,10.1016/j.ultsonch.2022.106138,https://www.scopus.com/pages/publications/85136654270?origin=resultslist,passed_stage1,"spectrum, amplitude, hz, acoustic, frequency",passed_stage2,"acoustic, hz, amplitude, frequency",relevant
Tan C.; Yan B.; Han T.; Yu A.C.H.; Qin P.,"Tan, Chunjie (57213151166); Yan, Bo (57220926774); Han, Tao (35274865200); Yu, Alfred C.H. (8699317700); Qin, Peng (14009156700)",57213151166; 57220926774; 35274865200; 8699317700; 14009156700,Improving temporal stability of stable cavitation activity of circulating microbubbles using a closed-loop controller based on pulse-length regulation,2022,12,10.1016/j.ultsonch.2021.105882,https://www.scopus.com/pages/publications/85121832660?origin=resultslist,passed_stage1,"spectrum, amplitude, hz, acoustic, frequency",passed_stage2,"acoustic, frequency",relevant
Lu H.; Xu G.; Wang Y.; Yang H.; Li D.; Huang L.; Su M.; Li C.; Qiu W.; Mao Y.; Yu W.; Li F.,"Lu, Huimin (57249685000); Xu, Gang (57199046834); Wang, Yun (57209029173); Yang, Huayu (34874123000); Li, Deyu (24492077700); Huang, Laixin (57808950600); Su, Min (57188643376); Li, Changcan (56911383800); Qiu, Weibao (53364145100); Mao, Yilei (7401999601); Yu, Wenkui (7403914036); Li, Fei (56288731200)",57249685000; 57199046834; 57209029173; 34874123000; 24492077700; 57808950600; 57188643376; 56911383800; 53364145100; 7401999601; 7403914036; 56288731200,Correlation Between Portal Vein Pressure and Subharmonic Scattering Signals From SonoVue Microbubbles in Canines,2023,12,10.1016/j.ultrasmedbio.2022.08.014,https://www.scopus.com/pages/publications/85140735831?origin=resultslist,passed_stage1,acoustic,passed_stage2,"spectrum, frequency",relevant
