UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S1350417723001682-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr8/DOWNSAMPLED/image/jpeg/11e5575c10cb583580006db8d0307e31/gr8.jpg,gr8.jpg,"Pressure–temperature phase diagrams of (a) water vapor, (b) Nitrogen (N2), (c) Oxygen (O2), and (d) Argon (Ar) below the critical temperature of each gas, predicted by the Peng–Robinson (PR) (red line) and the Van der Waals (vdW) (black line) equations of state. The green point is the critical point. The experimental data of saturation pressure P sat (blue points) were obtained from the NIST [51].",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr8_lrg.jpg,0,,,,,
1-s2.0-S1350417723001682-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr1/DOWNSAMPLED/image/jpeg/3dcdac3b7aba3ed9c923188207b03a04/gr1.jpg,gr1.jpg,"Temporal evolutions of (a) bubble radius, (b) temperature, (c) pressure, and (d) number of gas molecules inside the bubble as predicted by the Peng–Robinson (PR) and the Van der Waals (vdW) EOS. Simulation conditions were set as R 0 = 6 µm, f = 45 kHz and PA = 1.42 atm. Gas molecules include water vapor molecules and air molecules. Inset in each figure denotes the locally magnified part of bubble evolution around the end of collapse. The blue point represents the water critical temperature, and the position pointed by the blue dotted arrow corresponds to the time when the water critical temperature is located.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr1_lrg.jpg,0,,,,,
1-s2.0-S1350417723001682-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr2/DOWNSAMPLED/image/jpeg/2a860bdbb4b213a7bf7968cb3738525a/gr2.jpg,gr2.jpg,"(a) Bubble radius, (b) temperature, (c) pressure, and (d) number of water vapor molecules inside the bubble as a function of time with three models (with mass transfer, denoted as m (light yellow lines); with heat transfer (blue lines), denoted as Q; with mass and heat transfers (light grey lines), denoted as m + Q) based on the Peng–Robinson (PR) EOS. Simulation conditions were set as R 0 = 6 µm, f = 45 kHz and PA = 1.42 atm. Inset in the figure denotes the magnified part of pressure inside the bubble evolution around the end of collapse.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr2_lrg.jpg,0,,,,,
1-s2.0-S1350417723001682-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr3/DOWNSAMPLED/image/jpeg/09623765d190a953b458b7f667d44e79/gr3.jpg,gr3.jpg,"Variations of (a) compression ratio Rm , (b) maximum temperature Tmax , (c) maximum pressure Pmax , and (d) number of water vapor molecules Nvap inside the bubble at the end of collapse with respect to the ultrasound amplitude PA . The effects of the Peng–Robinson (PR) and the Van der Waals (vdW) EOS on the acoustic cavitation characteristics at various PA were compared. Simulation conditions were set as R 0 = 6 µm and f = 45 kHz.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr3_lrg.jpg,1,"amplitude, acoustic",0.0," 

 

(a) 40

R (um)

 

 

 

 

 

 

 

P in (Pa)

 

 

 
",,0.0
1-s2.0-S1350417723001682-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr4/DOWNSAMPLED/image/jpeg/03b8a04f62686efd6bbabc9757611d8b/gr4.jpg,gr4.jpg,"Contour plots of the differences between the Peng–Robinson (PR) and the Van der Waals (vdW) EOS with respect to various initial bubble radius R 0 and frequencies f at PA = 1.42 atm, including the differences in (a) compression ratio ΔRm , (b) maximum temperature ΔTmax , (c) maximum pressure ΔPmax , and (d) number of water molecules ΔNvap inside the bubble at the end of collapse.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr4_lrg.jpg,0,,,,,
1-s2.0-S1350417723001682-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr5/DOWNSAMPLED/image/jpeg/c47c1af503d40ac8b00cf30768669dfe/gr5.jpg,gr5.jpg,"Contour plots of the differences between the Peng–Robinson (PR) and the Van der Waals (vdW) EOS for the (a) compression ratio ΔRm , (b) maximum temperature, ΔTmax , (c) maximum pressure, ΔPmax , and (d) number of water molecules inside the bubble at the end of collapse ΔNvap with respect to various surface tension σ and the liquid viscosity μ. Simulation conditions were set as R 0 = 6 µm, f = 45 kHz and PA = 1.42 atm.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr5_lrg.jpg,0,,,,,
1-s2.0-S1350417723001682-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr6/DOWNSAMPLED/image/jpeg/a86a162c35b55247e19d7eba207c3528/gr6.jpg,gr6.jpg,"Variations of (a) compression ratio Rm , (b) maximum temperature Tmax , (c) maximum pressure Pmax , and (d) number of water molecules Nvap inside the bubble at the end of collapse with respect to the liquid temperature Tl . The effects of the Peng–Robinson (PR) and the Van der Waals (vdW) EOS on the acoustic cavitation characteristics were compared at various Tl . Simulation conditions were set as R 0 = 6 µm, f = 45 kHz and PA = 1.42 atm.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr6_lrg.jpg,1,acoustic,0.0,"(a) 10

x103. AR,

  

 

 

3 AT(K
6.5. (b) 10 Sow a 700
g 6 650
a 9 @ 600
E 6 15 &
~ 4 4 > 500
3.5 450
2 A 3 | | 400
0.02 0.04 0.06 0.08 0.1 0.02 0.04 0.06 0.08 0.1
o (N/m) o (N/m)
3 AP (Pa x 108 3 AN, «108
(c) 10 aig (Pa) (a) 10 el u 6

Lt (Pa:s)
or NY WwW A
Lt (Pa:s)

   

0.02 0.04 0.06 0.08 0.1 0.02 0.04 0.06 0.08 0.1
o (N/m) o (N/m)
",,0.0
1-s2.0-S1350417723001682-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr7/DOWNSAMPLED/image/jpeg/0d3bb698bd1cfa8d01e480350585fd59/gr7.jpg,gr7.jpg,"Variation curves of the (a) bubble radius and (b) pressure inside the bubble as a function of liquid temperature Tl , predicted by the Van der Waals (vdW) and the Peng–Robinson (PR) EOS. Rmax, : maximum bubble radius, Rmin : minimum bubble radius, PRmax : pressure inside the bubble at Rmax , ΔPin : the difference of the Pmax and PRmax . Simulation conditions were set as R 0 = 6 µm, f = 45 kHz and PA = 1.42 atm.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr7_lrg.jpg,0,,,,,
1-s2.0-S1350417723001682-gr8.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr8/THUMBNAIL/image/gif/90fd99812e46ed2a423a9220743781b5/gr8.sml,gr8.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr8.sml,0,,,,,
1-s2.0-S1350417723001682-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001682/gr1/THUMBNAIL/image/gif/cd42e624042416776aa646f039b3276f/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001682-gr1.sml,0,,,,,
