UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S2213597915300045-fx1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/fx1/THUMBNAIL/image/gif/819d18b2e643fe26ff9c35930d56fca4/fx1.sml,fx1.sml,(a) Illustration of photoacoustic signal generation and signal causing reflection artifacts (b) Principle of PAFUSion: Focusing ultrasound to the photoacoustic source mimics the reflection caused by it.,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-fx1.sml,0,,,,,
1-s2.0-S2213597915300045-fx2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/fx2/THUMBNAIL/image/gif/bf9fa500d49b4082e60b4c0b7df8bded/fx2.sml,fx2.sml,"Step-by- step schematic illustration of data processing steps in PAFUSion. (a) Simple medium with two optical absorbers and one acoustic reflector, (b) Photoacoustic image, (c) PAFUSion imaging step 1 – US focus on first high-intensity point in the PA image, (d) PAFUSion imaging step 2 – US focus on second high-intensity point in the PA image, (e) PAFUSion image obtained using weighted addition of images obtained in (c) and (d), (f) PA image corrected using PAFUSion image.",https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-fx2.sml,1,acoustic,0.0," 
",,0.0
1-s2.0-S2213597915300045-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr1/THUMBNAIL/image/gif/9ec7db6ae8a9627ae8efbfc6d9a3d818/gr1.sml,gr1.sml,Portable ultrasound scanner (left) and the hybrid probe (right) integrating laser module and US transducer array [5].,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr1.sml,0,,,,,
1-s2.0-S2213597915300045-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr2/THUMBNAIL/image/gif/6150371feaa0f590ca3cfa02677ba51b/gr2.sml,gr2.sml,"(a) Digital phantom used for simulation, including the acoustic properties, (b) photoacoustic image and enlarged region of interest, which shows the reverberation-like details of the reflection artifacts, (c) PAFUSion image.",https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr2.sml,1,acoustic,0.0," 
",,0.0
1-s2.0-S2213597915300045-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr3/THUMBNAIL/image/gif/02eb7808bbb891f1677e11381ed35ed8/gr3.sml,gr3.sml,"(a) Scheme of phantom 1 and experimental setup, (b) photoacoustic image, (c) plane-wave ultrasound image, (d) PAFUSion image.",https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr3.sml,1,wave,0.0," 
",,0.0
1-s2.0-S2213597915300045-gr4.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr4/THUMBNAIL/image/gif/e3929d9a2fcd3e6fc1dabafaa554626f/gr4.sml,gr4.sml,"(a) Scheme of phantom 2 and experimental setup, (b) photoacoustic image, (c) plane-wave ultrasound image, (d) PAFUSion image.",https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr4.sml,1,wave,0.0," 
",,0.0
1-s2.0-S2213597915300045-gr5.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr5/THUMBNAIL/image/gif/ec103c67c809ca5a34bd064cfe8f17cc/gr5.sml,gr5.sml,"(a) Scheme of phantom 3 and experimental setup, (b) photoacoustic image and enlarged region of interest, which shows the reverberation-like details of the reflection artifacts, (c) plane-wave ultrasound image, (d) PAFUSion image.",https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr5.sml,1,wave,0.0," 
",,0.0
1-s2.0-S2213597915300045-gr6.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr6/THUMBNAIL/image/gif/a0aea21232e48db8671e903d832673b6/gr6.sml,gr6.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr6.sml,0,,,,,
1-s2.0-S2213597915300045-gr7.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr7/THUMBNAIL/image/gif/efa8d45ded4598f9fbcb6eb138962eac/gr7.sml,gr7.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr7.sml,0,,,,,
1-s2.0-S2213597915300045-fx1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/fx1/DOWNSAMPLED/image/jpeg/14565cb4e24b284f193fc2384a7a7648/fx1.jpg,fx1.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-fx1_lrg.jpg,0,,,,,
1-s2.0-S2213597915300045-fx2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/fx2/DOWNSAMPLED/image/jpeg/11b0ab0f5bc7b1d60eb97d4ab7a57697/fx2.jpg,fx2.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-fx2_lrg.jpg,0,,,,,
1-s2.0-S2213597915300045-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr1/DOWNSAMPLED/image/jpeg/90a9c3f5b1d81852bea0dc7cd5a3e576/gr1.jpg,gr1.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr1_lrg.jpg,0,,,,,
1-s2.0-S2213597915300045-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2213597915300045/gr2/DOWNSAMPLED/image/jpeg/f175994549a294845693550160c12e10/gr2.jpg,gr2.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2213597915300045-gr2_lrg.jpg,0,,,,,
