UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S135041771831753X-gr1.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr1/THUMBNAIL/image/gif/fe1396af086d476d17297c10df9b26cd/gr1.sml,gr1.sml,Schematic of experimental apparatus used for the treatment of diaromatic compounds with ultrasound.,https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr1.sml,0,,,,,
1-s2.0-S135041771831753X-gr10.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr10/THUMBNAIL/image/gif/d6adab87c755592eba08d389ccce50cc/gr10.sml,gr10.sml,Schematic of homogenizer used as a hydrodynamic reactor for the cavitation of diaromatic compounds.,https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr10.sml,0,,,,,
1-s2.0-S135041771831753X-gr11.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr11/THUMBNAIL/image/gif/66488381f9eaa28ea9f88a1e10e175b2/gr11.sml,gr11.sml,1-Methylnaphthalene (1-MN) before and after treatment with ultrasound.,https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr11.sml,0,,,,,
1-s2.0-S135041771831753X-gr2.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr2/THUMBNAIL/image/gif/a14658d59465292534b2c8339aa6bfa5/gr2.sml,gr2.sml,Production of platelets in 50 mL of 1-MN as a function of ultrasound treatment time.,https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr2.sml,0,,,,,
1-s2.0-S135041771831753X-gr3.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr3/THUMBNAIL/image/gif/551966d8bfb3884f38e2b897c9bee0de/gr3.sml,gr3.sml,TEM analysis of platelets produced during ultrasound cavitation. (a) From a dispersion of platelets in N-methyl-2-pyrrolidone (NMP). (b) From a dispersions of agglomerated platelets in 1-MN.,https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr3.sml,0,,,,,
1-s2.0-S135041771831753X-gr4.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr4/THUMBNAIL/image/gif/cc4d12919c6fbaec051f7f0db988e946/gr4.sml,gr4.sml,Rate of graphitisation determined by UV–vis absorbance measurements (660 nm) taken at regular intervals during cavitation. The reaction switches off for toluene and the rate increases when naphthalene and biphenyl are dissolved in 1-methylnaphthalene up to their limit of solubility.,https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr4.sml,0,,,,,
1-s2.0-S135041771831753X-gr5.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr5/THUMBNAIL/image/gif/6832d8c916aa283667a5b24ba386368f/gr5.sml,gr5.sml,"Partially oxidised graphene platelets produced by ultrasound cavitation. (a) XPS C 1s spectrum showing evidence for sp3/sp2 carbon-carbon bonds (285.0 eV, FWHM = 1.7 eV) and high-energy features consistent with CO (287.0 eV), CO (288.6 eV) and OCO (290.0 eV) and π-plasmon (low intensity, 291.7 eV). (b) Raman spectrum showing a G band (∼1590 cm−1) that indicates a degree of oxidation and the presence of sp3 carbon atoms. The D band has higher intensity than in pristine graphene, which can be attributed to defects and disorder at both platelet edge and basal plane. ID/IG ∼ 0.83, the FWHMG of ∼87 cm−1 and the low intensity 2D band (seen with D + G and 2G overtones) are all consistent with reported behaviour for graphene platelets with a degree of oxidation.35.",https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr5.sml,1,spectrum,0.0," 
",,0.0
1-s2.0-S135041771831753X-gr6.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr6/THUMBNAIL/image/gif/009940cf475191fa0d2209897ec69dbb/gr6.sml,gr6.sml,"Dispersion stability in a UV–vis cuvette measured by the absorbance of light at 660 nm. A0 is the absorbance immediately after the completion of cavitation. Platelets in 1-MN sediment within one day of standing unless a N2 sparge is used to displace dissolved O2 from the hydrocarbon before cavitation commences. The addition of NMP (ϕ NMP = 0.5, ϕ 1-MN = 0.5) to a fresh dispersion of cavitated 1-MN can also be used to stabilise dispersions of platelets.",https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr6.sml,0,,,,,
1-s2.0-S135041771831753X-gr7.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr7/THUMBNAIL/image/gif/74e8757c4da94b86108379b4822810db/gr7.sml,gr7.sml,TEM images of platelets produced by (a-c) hydrodynamic cavitation and (d) by the shear induced exfoliation of graphite. (a) 1-MN and Pu = 600 bar. (b) 1-MN and Pu = 1000 bar. (c) 1-MN w/ octylamine and Pu = 1000 bar.,https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr7.sml,0,,,,,
1-s2.0-S135041771831753X-gr8.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S135041771831753X/gr8/THUMBNAIL/image/gif/69718410f74d91fb2a0e92e35bf5c837/gr8.sml,gr8.sml,"XPS C1 s data. (a) Functionalised graphene platelets produced by the hydrodynamic cavitation of 1-MN w/ octylamine (ϕ = 0.1) (CC 285.0 eV, FWHM 0.5 eV, atomic C/O ratio 24). (b) Graphene platelets produced by the exfoliation of graphite (CC 285.0 eV, FWHM 0.6 eV, atomic C/O ratio 43).",https://ars.els-cdn.com/content/image/1-s2.0-S135041771831753X-gr8.sml,0,,,,,
