UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S1350417721003369-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr1/DOWNSAMPLED/image/jpeg/c7b0a0f263921f9f7df416bc3598bc77/gr1.jpg,gr1.jpg,"Schematic diagram (a), and physical map (b) of the research.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr1_lrg.jpg,0,,,,,
1-s2.0-S1350417721003369-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr2/DOWNSAMPLED/image/jpeg/b1fb583060ce33853ab9b72554f7a18c/gr2.jpg,gr2.jpg,"Effect of SFU intermittent ratio and single factors on SPC. (a) Intermittent ratio, (b) soaking temperature, (c) ultrasonic power, and (d) soaking time.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr2_lrg.jpg,0,,,,,
1-s2.0-S1350417721003369-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr3/DOWNSAMPLED/image/jpeg/899885a7adc221e56a7edc415ada1fd3/gr3.jpg,gr3.jpg,Water absorption process of soybeans during soaking.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr3_lrg.jpg,0,,,,,
1-s2.0-S1350417721003369-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr4/DOWNSAMPLED/image/jpeg/817c51f5073f36df8ef2a3238dfd8b63/gr4.jpg,gr4.jpg,"Acoustic signals of SFU field during soybean soaking process. (a) Ultrasonic voltage amplitude in one cycle of oscillation process, (b) Maximum ultrasonic voltage amplitude in specific time periods (1, 30, 60, 90, 120, 150, 180, and 210 min), (c) One oscillation period, and (d) Oscillation periods in specific soaking time (1, 30, 60, 90, 120, 150, 180, and 210 min).",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr4_lrg.jpg,1,"amplitude, acoustic",2.0,"ta amplitude

 

0.09

0.08

0.07

0.06

 

 

 

0.05

 

 

0.04

Maximum voltage amplitude (V)

0 30 60 90 120 150 180 210
Time (min)

Oscillation Collapse

on | Fa Nae
e @ @ e e@ ES | >
es a a

 

a
oe

6.7

6.6

 

 

a
tn

 

 

 

vA
>

 

Oscillation period (x10° 1s)

 

oN
ue

0 30 60 90 120 150 180 210
Time (min)
",amplitude,1.0
1-s2.0-S1350417721003369-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr5/DOWNSAMPLED/image/jpeg/93218b7d9d67fa872832afab1089dcb5/gr5.jpg,gr5.jpg,OM (a–c) and SEM (a1-c2) images of soybean microstructure under different soaking conditions.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr5_lrg.jpg,0,,,,,
1-s2.0-S1350417721003369-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr6/DOWNSAMPLED/image/jpeg/a799c881e7dacc6448b5d989f717121b/gr6.jpg,gr6.jpg,"Cell membrane permeability. (a) SPC and electrical conductivity of soybeans and soaking solution, (b) Mechanism of SFU-assisted soaking process on cell membrane permeability.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr6_lrg.jpg,0,,,,,
1-s2.0-S1350417721003369-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr7/DOWNSAMPLED/image/jpeg/3d5a3ed4f79d7b60395c391540bdc693/gr7.jpg,gr7.jpg,"Physicochemical properties of soybeans. (a) Volume, arithmetic mean diameter and hardness, (b) flavor (W1C: aromatic, W5S: broadrange, W3C: aromatic, W6S: hydrogen, W5C: arom-aliph, W1S: broad-methane, W1W: sulphur-organic, W2S: broad-alcohol, W2W: sulph-chlor, W3S: methane-aliph).",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr7_lrg.jpg,0,,,,,
1-s2.0-S1350417721003369-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr8/DOWNSAMPLED/image/jpeg/fff8e788a0c914c00947241809574aa7/gr8.jpg,gr8.jpg,"Soybean protein spectrum. (a) CD spectrum and secondary structure, (b) Fluorescence spectrum.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr8_lrg.jpg,1,spectrum,2.0,"Circular dichroism (mdeg)

Fluorescence intensity (a.u.)

60> + 33.7%

o-Helix £§-Sheet -Turns Unordered

 

HE Control
_

SFU

 

 

412.4%

 

$215.7%

210 220 #8 230
Wavelength (nm)

 

240

250

(b)

 

 

Dried
Control
a SFU

 

 

360 390
Wavelength (nm)

 

420

450
",wavelength,1.0
1-s2.0-S1350417721003369-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr1/THUMBNAIL/image/gif/68cd8ec531804f70ee6863ad29b65a77/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr1.sml,0,,,,,
1-s2.0-S1350417721003369-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721003369/gr2/THUMBNAIL/image/gif/d85d8d1d914c6e62a0ab39c16c233b4f/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417721003369-gr2.sml,0,,,,,
