UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S1350417718300233-gr1.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr1/THUMBNAIL/image/gif/fa6f6ea2f7851e072ce1da26788b8c2c/gr1.sml,gr1.sml,Sketch of a TMS subject to a travelling ultrasonic wave and the coordinate system.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr1.sml,1,wave,0.0," 
",,0.0
1-s2.0-S1350417718300233-gr10.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr10/THUMBNAIL/image/gif/6dc110fe151d72fdc73c76b748330af7/gr10.sml,gr10.sml,"Comparison of bubble shapes at the end of the collapse phase ( t ∗ = 5.637 ) with an axisymmetric BEM (dashed line, Calvisi et al. [28]). (a) 720 elements, (b) 980 elements, and (c) 1280 elements. p a ∗ = 1.6 , R 0 = 4.5 μm, f ∗ = 0.136 (in dimensional, 0.3 MHz), α = 1.667 and ρ = 998 kg m−3.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr10.sml,0,,,,,
1-s2.0-S1350417718300233-gr11.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr11/THUMBNAIL/image/gif/2d47e7e38fbf6e010ff6c315428d9528/gr11.sml,gr11.sml,"Oscillation cycles of a TMS and the maximum sphericity ψ max of bubble 1 at different ultrasonic wave pressure amplitude p a ∗ . β = 0 , R 01 * = R 02 * = 1 (in dimensional, 5 μm), f ∗ = 0.151 (0.3 MHz) and D ∗ = 6 .",https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr11.sml,1,"amplitude, wave",0.0," 
",,0.0
1-s2.0-S1350417718300233-gr12.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr12/THUMBNAIL/image/gif/5627e4854ddc1a3b46d5fda2f6c37854/gr12.sml,gr12.sml,"TMS under moderate wave forcing when bubble 1 reaches its first, second and third maximum volumes (frames (a), (c) and (e)) and its first and second minimum volumes (frames (b) and (d)). p a ∗ = 0.8 , β = 0 , R 01 ∗ = R 02 ∗ = 1 (in dimensional, 5 μm), f ∗ = 0.151 (0.3 MHz) and D ∗ = 6 .",https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr12.sml,1,wave,0.0," 
",,0.0
1-s2.0-S1350417718300233-gr13.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr13/THUMBNAIL/image/gif/9847fefbe0ac67903d39f2e748ddf4ae/gr13.sml,gr13.sml,"Bubble shapes of a TMS under strong wave forcing. p a ∗ = 1.2 , β = 0 , R 01 ∗ = R 02 ∗ = 1 (in dimensional, 5 μm), f ∗ = 0.151 (0.3 MHz) and D ∗ = 5 .",https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr13.sml,1,wave,0.0," 
",,0.0
1-s2.0-S1350417718300233-gr14.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr14/THUMBNAIL/image/gif/af2852842c419ea0587d4102acdecee8/gr14.sml,gr14.sml,Jet velocities of a TMS in the compression phase as functions of time for the case in Fig. 5.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr14.sml,0,,,,,
1-s2.0-S1350417718300233-gr15.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr15/THUMBNAIL/image/gif/974af55c237fe589d852556f5b28b21c/gr15.sml,gr15.sml,Jet velocity histories during the late stage of the collapse phase of bubble 1 for the case in Fig. 6 with different mesh sizes and time steps.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr15.sml,0,,,,,
1-s2.0-S1350417718300233-gr2.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr2/THUMBNAIL/image/gif/e742a85595d2bc438efcaa797488e8e1/gr2.sml,gr2.sml,Pressure field p f ∗ near bubble 1 as the bubble jet develops for the case in Fig. 5.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr2.sml,0,,,,,
1-s2.0-S1350417718300233-gr3.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr3/THUMBNAIL/image/gif/8f9a6e28553eb21e5fb3125e7521575b/gr3.sml,gr3.sml,Time histories of the bubble volumes and pressure at the initial centre O of the configuration for the case in Fig. 5.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr3.sml,0,,,,,
1-s2.0-S1350417718300233-gr4.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr4/THUMBNAIL/image/gif/6b7ab880fe2456e3694312182ce0290a/gr4.sml,gr4.sml,The maximum jet velocity v jet ∗ of each bubble and their corresponding occurrence time as functions of β . The remaining parameters are the same as in Fig. 5,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr4.sml,0,,,,,
1-s2.0-S1350417718300233-gr5.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr5/THUMBNAIL/image/gif/a035217acabc01c3e3589f9a2f2618dc/gr5.sml,gr5.sml,"Time histories of the geometric centres of the bubbles in the x direction and the volume of bubble 1 for p a ∗ = 0.3 , β = 0 , R 01 ∗ = R 02 ∗ = 1 , f ∗ = 0.151 and D ∗ = 6 .",https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr5.sml,0,,,,,
1-s2.0-S1350417718300233-gr6.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr6/THUMBNAIL/image/gif/d3655d9977f88c1699494fb19522a989/gr6.sml,gr6.sml,Time histories of the displacement of the bubble controids C a x ∗ and C a z ∗ in terms of β . The remaining parameters are the same as in Fig. 11.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr6.sml,0,,,,,
1-s2.0-S1350417718300233-gr7.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr7/THUMBNAIL/image/gif/7a6a07ba06ec758574578d297110fa90/gr7.sml,gr7.sml,Time histoires of the centroids C x ∗ of the two bubbles and the volume V ∗ of bubble 2 for R 02 ∗ = 2 and D ∗ = 20 . The remaining parameters are the same in Fig. 11.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr7.sml,0,,,,,
1-s2.0-S1350417718300233-gr8.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr8/THUMBNAIL/image/gif/21bd2555561c2a8d199207364640180b/gr8.sml,gr8.sml,Time histories of the centroids C x ∗ of the two bubbles and the volume V ∗ of bubble 2 for R 02 ∗ = 8 and D ∗ = 20 . The remaining parameters are the same in Fig. 11.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr8.sml,0,,,,,
1-s2.0-S1350417718300233-gr9.sml,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr9/THUMBNAIL/image/gif/3d86289db58e3a209d01bc52444e06eb/gr9.sml,gr9.sml,"Time histories of the centroids C x ∗ for (a) bubble 1 and (b) bubble 2 for R 02 ∗ = 1 , 2 , 4 , 8 . The remaining parameters are the same as in Fig. 14.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr9.sml,0,,,,,
1-s2.0-S1350417718300233-gr1.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr1/DOWNSAMPLED/image/jpeg/f170dc3be5b35e72fd11e9d8f70ba825/gr1.jpg,gr1.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr1_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr10.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr10/DOWNSAMPLED/image/jpeg/9ba4e1888159e47b964da148cb68b54d/gr10.jpg,gr10.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr10_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr11.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr11/DOWNSAMPLED/image/jpeg/12d776a716562f61707f5f9724028781/gr11.jpg,gr11.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr11_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr12.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr12/DOWNSAMPLED/image/jpeg/8d03dc7a924f4d0c6b3cedfcc919ee71/gr12.jpg,gr12.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr12_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr13.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr13/DOWNSAMPLED/image/jpeg/4b5e6652dfede055938914ea020a0f49/gr13.jpg,gr13.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr13_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr14.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr14/DOWNSAMPLED/image/jpeg/5bea5a93e5e34b11674f6394b23f9c77/gr14.jpg,gr14.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr14_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr15.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr15/DOWNSAMPLED/image/jpeg/223f2a08b13e551b68b36892ab9eae64/gr15.jpg,gr15.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr15_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr2.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr2/DOWNSAMPLED/image/jpeg/83e25f7296ad1076521b88dcffe0744f/gr2.jpg,gr2.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr2_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr3.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr3/DOWNSAMPLED/image/jpeg/02848dd5cce2439627f4ed40740c91f5/gr3.jpg,gr3.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr3_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr4.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr4/DOWNSAMPLED/image/jpeg/684378d8feabea5470aaec8838dcded4/gr4.jpg,gr4.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr4_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr5.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr5/DOWNSAMPLED/image/jpeg/93b2cce3e9be451330ab7fe60e70c7cf/gr5.jpg,gr5.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr5_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr6.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr6/DOWNSAMPLED/image/jpeg/3ffeb62d291a007ed4ec82bca3318c22/gr6.jpg,gr6.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr6_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr7.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr7/DOWNSAMPLED/image/jpeg/fbd4bb40d77b586b373b9f33143e6798/gr7.jpg,gr7.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr7_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr8.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr8/DOWNSAMPLED/image/jpeg/1be652da6f1377d8d75eaab0e69cded2/gr8.jpg,gr8.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr8_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr9.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr9/DOWNSAMPLED/image/jpeg/311a557d61d650813578017326acc85d/gr9.jpg,gr9.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr9_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr1_lrg.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr1/HIGHRES/image/jpeg/b5ff2a60045511a6651754536c15ad9c/gr1_lrg.jpg,gr1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr1_lrg_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr10_lrg.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr10/HIGHRES/image/jpeg/665c3eed01f07a2c24c5cc93d2a6fdf8/gr10_lrg.jpg,gr10_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr10_lrg_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr11_lrg.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr11/HIGHRES/image/jpeg/b0ced4a754e991aabd68009c5aacf17b/gr11_lrg.jpg,gr11_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr11_lrg_lrg.jpg,0,,,,,
1-s2.0-S1350417718300233-gr12_lrg.jpg,https://s3.amazonaws.com/prod-ucs-content-store-us-east/content/pii:S1350417718300233/gr12/HIGHRES/image/jpeg/a3947f38f01741247c822c4a08323b98/gr12_lrg.jpg,gr12_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417718300233-gr12_lrg_lrg.jpg,0,,,,,
