Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Stavins R.A.; Sahray D.; Chicas K.; Celebi B.; Ziskind G.; King W.P.; Miljkovic N.,"Stavins, Robert A. (57221466000); Sahray, Doron (23971309300); Chicas, Kelly (60199308200); Celebi, Bertug (58942407600); Ziskind, Gennady (8612331200); King, William P. (26643645400); Miljkovic, Nenad (53164399200)",57221466000; 23971309300; 60199308200; 58942407600; 8612331200; 26643645400; 53164399200,Experimental and numerical exploration of dynamic phase change materials on rectangular strip fins,2026,6,10.1016/j.ijheatmasstransfer.2025.127950,https://www.scopus.com/pages/publications/105022199807?origin=resultslist,passed_stage1,"heat flux, thermal, temperature",passed_stage2,"heat flux, temperature, curve, thermal, conductivity",relevant
Jalali M.R.; Kaushik D.; Verma S.; Singh H.,"Jalali, Mohammad Reza (57573923500); Kaushik, Dron (58589353300); Verma, Sankarshan (57208321028); Singh, Harjit (55452708900)",57573923500; 58589353300; 57208321028; 55452708900,A coupled model of finite element method and Mie theory for heat transfer inside expanded perlite vacuum insulation panels (VIPs) at high temperatures,2024,10,10.1016/j.ijheatmasstransfer.2023.124885,https://www.scopus.com/pages/publications/85175570317?origin=resultslist,passed_stage1,"thermal, conductivity, temperature",passed_stage2,conductivity,relevant
Flity H.; Terrei L.; Acem Z.; Parent G.,"Flity, Hassan (57681093700); Terrei, Lucas (57204913118); Acem, Zoubir (10041335800); Parent, Gilles (9742425000)",57681093700; 57204913118; 10041335800; 9742425000,Study of heat transfer in wood before the onset of pyrolysis at the cone calorimeter scale,2025,2,10.1016/j.ijthermalsci.2024.109545,https://www.scopus.com/pages/publications/85211139259?origin=resultslist,passed_stage1,"heat flux, thermal, conductivity, temperature",passed_stage2,"thermal, conductivity, temperature",relevant
Cascioli E.; Kaaks B.; Keijers S.; Van Tichelen K.; Kenjereš S.,"Cascioli, E. (57205471502); Kaaks, B. (58110360600); Keijers, S. (15750938100); Van Tichelen, K. (15733262100); Kenjereš, S. (6603711688)",57205471502; 58110360600; 15750938100; 15733262100; 6603711688,Numerical analysis of a parallel triple-jet of liquid-sodium in a turbulent forced convection regime,2024,3,10.1016/j.icheatmasstransfer.2024.107696,https://www.scopus.com/pages/publications/85195866082?origin=resultslist,passed_stage1,"heat flux, thermal, temperature",passed_stage2,temperature,relevant
Fathi N.; Pourghasemi M.; Aleyasin S.S.; Savoldi L.; Rodriguez S.,"Fathi, Nima (55828476600); Pourghasemi, Mahyar (57194544805); Aleyasin, Seyed Sobhan (57188878530); Savoldi, Laura (57212151335); Rodriguez, Sal (8326662500)",55828476600; 57194544805; 57188878530; 57212151335; 8326662500,On conjugate heat transfer in microchannel heat sinks,2024,4,10.1016/j.ijft.2024.100658,https://www.scopus.com/pages/publications/85191173094?origin=resultslist,passed_stage1,"reynolds, heat flux, nusselt, temperature",passed_stage2,"convection, heat flux, reynolds",relevant
Parsa N.; Abolghasemi H.; Kamkari B.,"Parsa, Nazila (58951725100); Abolghasemi, Hossein (57189448217); Kamkari, Babak (35728658400)",58951725100; 57189448217; 35728658400,Bio-inspired fins and obround shell geometry for enhanced shell-and-tube latent heat storage: An experimental and numerical study,2026,2,10.1016/j.icheatmasstransfer.2025.110104,https://www.scopus.com/pages/publications/105022899397?origin=resultslist,passed_stage1,temperature,passed_stage2,thermal,relevant
Bahar A.; Ghafouri J.; Zamzamian K.,"Bahar, Amin (59521533700); Ghafouri, Jafar (55503594700); Zamzamian, Kamiar (24476873800)",59521533700; 55503594700; 24476873800,"A numerical investigation into the application of thermosyphons for preventing the freezing of water meters, utilizing pure water and different nanofluids",2025,3,10.1016/j.ijft.2025.101088,https://www.scopus.com/pages/publications/85215613039?origin=resultslist,passed_stage1,"heat flux, temperature",passed_stage2,temperature,relevant
Kiros A.K.; Zeru B.A.; Desisa D.G.; Tewolde D.G.,"Kiros, Abraha Kahsay (59496003100); Zeru, Balewgize Amare (57256286300); Desisa, Debela Geneti (57218581667); Tewolde, Desta Goytom (57889584800)",59496003100; 57256286300; 57218581667; 57889584800,Fin geometry optimization for enhanced PCM solidification in solar cooking thermal storage system: Numerical simulation and experimental validation,2025,2,10.1016/j.ijft.2025.101243,https://www.scopus.com/pages/publications/105004990831?origin=resultslist,passed_stage1,temperature,passed_stage2,temperature,relevant
Ahmadi B.; Saple J.; Shaeri M.R.; Bigham S.,"Ahmadi, Behzad (60070737400); Saple, Jay (57218905498); Shaeri, Mohammad Reza (26023841300); Bigham, Sajjad (34871317600)",60070737400; 57218905498; 26023841300; 34871317600,3D-printed converging wick flow condensers for low surface-tension fluids: Modeling and experiment,2026,1,10.1016/j.ijheatmasstransfer.2025.127754,https://www.scopus.com/pages/publications/105014264288?origin=resultslist,passed_stage1,"heat flux, thermal, temperature",passed_stage2,"curve, heat flux, temperature",relevant
Afass A.; Landini S.; Elghaz O.; Lamrani B.; Kousksou T.,"Afass, A. (57226066202); Landini, S. (57210571567); Elghaz, O. (60207825000); Lamrani, B. (57203242590); Kousksou, T. (12759352100)",57226066202; 57210571567; 60207825000; 57203242590; 12759352100,Analytical solution and parametric design of bio-PCM-based passive BTMS for cylindrical lithium-ion cells under lumped model assumptions,2026,1,10.1016/j.ijthermalsci.2025.110466,https://www.scopus.com/pages/publications/105022720900?origin=resultslist,passed_stage1,"thermal, conductivity, temperature",passed_stage2,"thermal, conductivity, temperature",relevant
