"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link"
"Kim T.; Palmore G.T.R.","Kim, Taehee (55763792514); Palmore, G. Tayhas R. (6603670534)","55763792514; 6603670534","A scalable method for preparing Cu electrocatalysts that convert CO2 into C2+ products","2020","198","10.1038/s41467-020-16998-9","https://www.scopus.com/pages/publications/85088150536?origin=resultslist"
"Liu J.; Manthiram A.","Liu, J. (57203646711); Manthiram, A. (7004440960)","57203646711; 7004440960","Improved electrochemical performance of the 5 v spinel cathode LiMn 1.5Ni0.42Zn0.08O4 by surface modification","2009","143","10.1149/1.3028318","https://www.scopus.com/pages/publications/56749159767?origin=resultslist"
"Hussin M.H.; Kassim M.J.","Hussin, M. Hazwan (36701361400); Kassim, M. Jain (15076800600)","36701361400; 15076800600","The corrosion inhibition and adsorption behavior of Uncaria gambir extract on mild steel in 1 M HCl","2011","268","10.1016/j.matchemphys.2010.10.032","https://www.scopus.com/pages/publications/78649999300?origin=resultslist"
"Chang-Bin T.; Dao-Xin L.; Zhan W.; Yang G.","Chang-Bin, Tang (37055527100); Dao-Xin, Liu (33067531000); Zhan, Wang (37113419600); Yang, Gao (56166879200)","37055527100; 33067531000; 37113419600; 56166879200","Electro-spark alloying using graphite electrode on titanium alloy surface for biomedical applications","2011","116","10.1016/j.apsusc.2011.01.120","https://www.scopus.com/pages/publications/79954594722?origin=resultslist"
"Rui X.H.; Yesibolati N.; Li S.R.; Yuan C.C.; Chen C.H.","Rui, X.H. (54409541100); Yesibolati, N. (36648273100); Li, S.R. (45161355900); Yuan, C.C. (55745553100); Chen, C.H. (57142236500)","54409541100; 36648273100; 45161355900; 55745553100; 57142236500","Determination of the chemical diffusion coefficient of Li+ in intercalation-type Li3V2(PO4)3 anode material","2011","184","10.1016/j.ssi.2011.02.013","https://www.scopus.com/pages/publications/79953758675?origin=resultslist"
"Sathiyanarayanan S.; Jeyaprabha C.; Venkatachari G.","Sathiyanarayanan, S. (6701755053); Jeyaprabha, C. (8553000500); Venkatachari, G. (6701874357)","6701755053; 8553000500; 6701874357","Influence of metal cations on the inhibitive effect of polyaniline for iron in 0.5 M H2SO4","2008","64","10.1016/j.matchemphys.2007.07.024","https://www.scopus.com/pages/publications/36849080233?origin=resultslist"
"Chen C.; Wei S.; Xiang B.; Wang B.; Wang Y.; Liang Y.; Yuan Y.","Chen, Chao (58604736500); Wei, Shicheng (55728325500); Xiang, Bin (57209160803); Wang, Bo (57216234792); Wang, Yujiang (57804962800); Liang, Yi (55479406200); Yuan, Yue (59553042700)","58604736500; 55728325500; 57209160803; 57216234792; 57804962800; 55479406200; 59553042700","Synthesis of silane functionalized graphene oxide and its application in anti-corrosion waterborne polyurethane composite coatings","2019","58","10.3390/COATINGS9090587","https://www.scopus.com/pages/publications/85079622195?origin=resultslist"
"Hegde A.C.; Venkatakrishna K.; Eliaz N.","Hegde, A. Chitharanjan (55664312200); Venkatakrishna, K. (24833681100); Eliaz, N. (7003877801)","55664312200; 24833681100; 7003877801","Electrodeposition of Zn-Ni, Zn-Fe and Zn-Ni-Fe alloys","2010","155","10.1016/j.surfcoat.2010.08.102","https://www.scopus.com/pages/publications/78649795605?origin=resultslist"
"LI S.-K.; GU G.-H.; QIU G.-Z.; CHEN Z.-X.","LI, Shuang-ke (54418773900); GU, Guo-hua (35210108300); QIU, Guan-zhou (55647207000); CHEN, Zhi-xiang (57200392495)","54418773900; 35210108300; 55647207000; 57200392495","Flotation and electrochemical behaviors of chalcopyrite and pyrite in the presence of N-propyl-N′-ethoxycarbonyl thiourea","2018","41","10.1016/S1003-6326(18)64762-4","https://www.scopus.com/pages/publications/85049577215?origin=resultslist"
"Anik M.; Körpe E.; Şen E.","Anik, Mustafa (6603182812); Körpe, Erhan (23094525800); Şen, Esin (23095877700)","6603182812; 23094525800; 23095877700","Effect of coating bath composition on the properties of electroless nickel-boron films","2008","164","10.1016/j.surfcoat.2007.07.031","https://www.scopus.com/pages/publications/37349035016?origin=resultslist"
"Bashir S.; Sharma V.; Singh G.; Lgaz H.; Salghi R.; Singh A.; Kumar A.","Bashir, Sumayah (55892645400); Sharma, Vivek (57195236486); Singh, Gurmeet (58605125500); Lgaz, Hassane (56707358100); Salghi, Rachid (6602839432); Singh, Ambrish (57202898174); Kumar, Ashish (57191567584)","55892645400; 57195236486; 58605125500; 56707358100; 6602839432; 57202898174; 57191567584","Electrochemical Behavior and Computational Analysis of Phenylephrine for Corrosion Inhibition of Aluminum in Acidic Medium","2019","40","10.1007/s11661-018-4957-9","https://www.scopus.com/pages/publications/85056002821?origin=resultslist"
"Deyab M.A.","Deyab, M.A. (8703906700)","8703906700","The influence of different variables on the electrochemical behavior of mild steel in circulating cooling water containing aggressive anionic species","2009","69","10.1007/s10008-009-0848-8","https://www.scopus.com/pages/publications/69549114461?origin=resultslist"
"Ramezanzadeh B.; Attar M.M.; Farzam M.","Ramezanzadeh, B. (26421358600); Attar, M.M. (7003708831); Farzam, M. (36164071100)","26421358600; 7003708831; 36164071100","Corrosion performance of a hot-dip galvanized steel treated by different kinds of conversion coatings","2010","92","10.1016/j.surfcoat.2010.08.028","https://www.scopus.com/pages/publications/77956648394?origin=resultslist"
"Guo R.; Liu T.; Wei X.","Guo, Rong (36801328900); Liu, Tianqing (56131800500); Wei, Xun (36811035200)","36801328900; 56131800500; 36811035200","Effects of SDS and some alcohols on the inhibition efficiency of corrosion for nickel","2002","89","10.1016/S0927-7757(02)00032-8","https://www.scopus.com/pages/publications/0037019611?origin=resultslist"
"Liu Q.; Ma R.; Du A.; Zhang X.; Yang H.; Fan Y.; Zhao X.; Cao X.","Liu, Qi (57202980190); Ma, Ruina (25622300700); Du, An (55696856900); Zhang, Xiaoran (57202995791); Yang, Huazhen (57207346071); Fan, Yongzhe (12763183000); Zhao, Xue (55540903200); Cao, Xiaoming (57211494856)","57202980190; 25622300700; 55696856900; 57202995791; 57207346071; 12763183000; 55540903200; 57211494856","Investigation of the anticorrosion properties of graphene oxide doped thin organic anticorrosion films for hot-dip galvanized steel","2019","47","10.1016/j.apsusc.2019.02.199","https://www.scopus.com/pages/publications/85062457364?origin=resultslist"
"Benhiba F.; Hsissou R.; Benzekri Z.; Belghiti M.E.; Lamhamdi A.; Bellaouchou A.; Guenbour A.; Boukhris S.; Oudda H.; Warad I.; Zarrouk A.","Benhiba, F. (56368215200); Hsissou, R. (57193233249); Benzekri, Z. (56904302000); Belghiti, M.E. (54381512300); Lamhamdi, A. (12787494400); Bellaouchou, A. (6506664889); Guenbour, A. (56025457900); Boukhris, S. (55995360200); Oudda, H. (56008990500); Warad, I. (6506402060); Zarrouk, A. (36125763200)","56368215200; 57193233249; 56904302000; 54381512300; 12787494400; 6506664889; 56025457900; 55995360200; 56008990500; 6506402060; 36125763200","Nitro substituent effect on the electronic behavior and inhibitory performance of two quinoxaline derivatives in relation to the corrosion of mild steel in 1M HCl","2020","103","10.1016/j.molliq.2020.113367","https://www.scopus.com/pages/publications/85085958488?origin=resultslist"
"Liu J.; Manthiram A.","Liu, J. (57203646711); Manthiram, A. (7004440960)","57203646711; 7004440960","Kinetics study of the 5 v spinel cathode LiMn1.5Ni 0.5O4 before and after surface modifications","2009","141","10.1149/1.3206590","https://www.scopus.com/pages/publications/70349742582?origin=resultslist"
"Sherif E.-S.M.","Sherif, El-Sayed M. (15078189600)","15078189600","Effects of 5-(3-aminophenyl)-tetrazole on the inhibition of unalloyed iron corrosion in aerated 3.5% sodium chloride solutions as a corrosion inhibitor","2011","71","10.1016/j.matchemphys.2011.05.043","https://www.scopus.com/pages/publications/79959808333?origin=resultslist"
"Hassan H.H.","Hassan, Hamdy H (57928302000)","57928302000","Corrosion behaviour of zinc in sodium perchlorate solutions","2001","49","10.1016/S0169-4332(01)00154-4","https://www.scopus.com/pages/publications/0035971557?origin=resultslist"
"El Jaouhari A.; Laabd M.; Bazzaoui E.A.; Albourine A.; Martins J.I.; Wang R.; Nagy G.; Bazzaoui M.","El Jaouhari, A. (57195108875); Laabd, M. (56568315300); Bazzaoui, E.A. (13605577000); Albourine, A. (6506451640); Martins, J.I. (59415086700); Wang, R. (55630330600); Nagy, G. (7201883321); Bazzaoui, M. (6603635972)","57195108875; 56568315300; 13605577000; 6506451640; 59415086700; 55630330600; 7201883321; 6603635972","Electrochemical and spectroscopical studies of polypyrrole synthesized on carbon steel from aqueous medium","2015","36","10.1016/j.synthmet.2015.06.017","https://www.scopus.com/pages/publications/84933504130?origin=resultslist"
"Wu W.; Pan Y.; Liu Z.; Du C.; Li X.","Wu, Wei (56732178800); Pan, Yue (57188829663); Liu, Zhiyong (56118218400); Du, Cuiwei (13408244300); Li, Xiaogang (52063654000)","56732178800; 57188829663; 56118218400; 13408244300; 52063654000","Electrochemical and stress corrosion mechanism of submarine pipeline in simulated seawater in presence of different alternating current densities","2018","37","10.3390/ma11071074","https://www.scopus.com/pages/publications/85049190763?origin=resultslist"
"Eliyan F.F.; Alfantazi A.","Eliyan, Faysal Fayez (54986289400); Alfantazi, Akram (7003739667)","54986289400; 7003739667","Influence of temperature on the corrosion behavior of API-X100 pipeline steel in 1-bar CO2-HCO3- solutions: An electrochemical study","2013","56","10.1016/j.matchemphys.2013.03.061","https://www.scopus.com/pages/publications/84878322516?origin=resultslist"
"Bai A.; Chuang P.-Y.; Hu C.-C.","Bai, Allen (7006523117); Chuang, Po-Yao (9335209700); Hu, Chi-Chang (7404571017)","7006523117; 9335209700; 7404571017","The corrosion behavior of Ni-P deposits with high phosphorous contents in brine media","2003","100","10.1016/S0254-0584(03)00193-7","https://www.scopus.com/pages/publications/0042563343?origin=resultslist"
"Nishikata A.; Ichihara Y.; Hayashi Y.; Tsuru T.","Nishikata, A. (7006774015); Ichihara, Y. (36887724500); Hayashi, Y. (57193119011); Tsuru, T. (12755537800)","7006774015; 36887724500; 57193119011; 12755537800","Influence of electrolyte layer thickness and pH on the initial stage of the atmospheric corrosion of iron","1997","255","10.1149/1.1837578","https://www.scopus.com/pages/publications/0031117719?origin=resultslist"
"Parthipan P.; Sabarinathan D.; Angaiah S.; Rajasekar A.","Parthipan, Punniyakotti (57193152696); Sabarinathan, Devaraj (57194395660); Angaiah, Subramania (6603264030); Rajasekar, Aruliah (55928874800)","57193152696; 57194395660; 6603264030; 55928874800","Glycolipid biosurfactant as an eco-friendly microbial inhibitor for the corrosion of carbon steel in vulnerable corrosive bacterial strains","2018","77","10.1016/j.molliq.2018.04.045","https://www.scopus.com/pages/publications/85045762059?origin=resultslist"
"Ariza E.; Rocha L.A.; Vaz F.; Cunha L.; Ferreira S.C.; Carvalho P.; Rebouta L.; Alves E.; Goudeau Ph.; Rivière J.P.","Ariza, E. (6506502937); Rocha, L.A. (35480380200); Vaz, F. (56488157400); Cunha, L. (7005093991); Ferreira, S.C. (25627794700); Carvalho, P. (59432622800); Rebouta, L. (7003449734); Alves, E. (59968545600); Goudeau, Ph. (55321396400); Rivière, J.P. (35472914300)","6506502937; 35480380200; 56488157400; 7005093991; 25627794700; 59432622800; 7003449734; 59968545600; 55321396400; 35472914300","Corrosion resistance of ZrNxOy thin films obtained by rf reactive magnetron sputtering","2004","59","10.1016/j.tsf.2004.08.091","https://www.scopus.com/pages/publications/10044259696?origin=resultslist"
"Forouzanmehr M.; Kashyzadeh K.R.; Borjali A.; Ivanov A.; Jafarnode M.; Gan T.-H.; Wang B.; Chizari M.","Forouzanmehr, Mohsen (57219022770); Kashyzadeh, Kazem Reza (57427771300); Borjali, Amirhossein (57219055468); Ivanov, Anastas (57198676454); Jafarnode, Mosayeb (57413770300); Gan, Tat-Hean (7103369965); Wang, Bin (55636317992); Chizari, Mahmoud (23092885400)","57219022770; 57427771300; 57219055468; 57198676454; 57413770300; 7103369965; 55636317992; 23092885400","Detection and Analysis of Corrosion and Contact Resistance Faults of TiN and CrN Coatings on 410 Stainless Steel as Bipolar Plates in PEM Fuel Cells","2022","39","10.3390/s22030750","https://www.scopus.com/pages/publications/85122875320?origin=resultslist"
"Yu Z.; Zhou C.; Liu R.; Zhang Q.; Gong J.; Tao D.; Ji Z.","Yu, Zhiqiang (57213677568); Zhou, Chen (57193503409); Liu, Rong (56316380000); Zhang, Qiaoxin (13402891200); Gong, Jingwen (34972864500); Tao, Dihao (57211034502); Ji, Zhiyong (57213677335)","57213677568; 57193503409; 56316380000; 13402891200; 34972864500; 57211034502; 57213677335","Fabrication of superhydrophobic surface with enhanced corrosion resistance on H62 brass substrate","2020","60","10.1016/j.colsurfa.2020.124475","https://www.scopus.com/pages/publications/85077951753?origin=resultslist"
"Tian Y.; Xie Y.; Dai F.; Huang H.; Zhong L.; Zhang X.","Tian, Yuqin (57205667678); Xie, Yuhui (57131707300); Dai, Fei (57212493016); Huang, Haowei (57207276402); Zhong, Li (7201519099); Zhang, Xinya (36063556100)","57205667678; 57131707300; 57212493016; 57207276402; 7201519099; 36063556100","Ammonium-grafted graphene oxide for enhanced corrosion resistance of waterborne epoxy coatings","2020","91","10.1016/j.surfcoat.2019.125227","https://www.scopus.com/pages/publications/85076845918?origin=resultslist"
"Eraković S.; Janković A.; Matić I.Z.; Juranić Z.D.; Vukašinović-Sekulić M.; Stevanović T.; Miskovic-Stankovic V.","Eraković, Sanja (35291722400); Janković, Ana (55543226700); Matić, Ivana Z. (36572349500); Juranić, Zorica D. (7003932917); Vukašinović-Sekulić, Maja (36680801900); Stevanović, Tatjana (8525452100); Miskovic-Stankovic, Vesna (7003962185)","35291722400; 55543226700; 36572349500; 7003932917; 36680801900; 8525452100; 7003962185","Investigation of silver impact on hydroxyapatite/lignin coatings electrodeposited on titanium","2013","44","10.1016/j.matchemphys.2013.07.047","https://www.scopus.com/pages/publications/84884563431?origin=resultslist"
"Muralidharan S.; Saraswathy V.; Berchmans L.J.; Thangavel K.; Ann K.Y.","Muralidharan, S. (14123517400); Saraswathy, V. (55907747700); Berchmans, L. John (55666770600); Thangavel, K. (6603851090); Ann, Ki Yong (22978374800)","14123517400; 55907747700; 55666770600; 6603851090; 22978374800","Nickel ferrite (NiFe2O4): A possible candidate material as reference electrode for corrosion monitoring of steel in concrete environments","2010","40","10.1016/j.snb.2009.11.071","https://www.scopus.com/pages/publications/76949108447?origin=resultslist"
"Rotariu L.; Zamfir L.-G.; Bala C.","Rotariu, Lucian (6507719082); Zamfir, Lucian-Gabriel (36913015200); Bala, Camelia (6603592955)","6507719082; 36913015200; 6603592955","Low potential thiocholine oxidation at carbon nanotube-ionic liquid gel sensor","2010","36","10.1016/j.snb.2010.07.040","https://www.scopus.com/pages/publications/79952818062?origin=resultslist"
"El Basiony N.M.; Salim M.M.; Elaraby A.; Elbalaawy A.Y.; Nasser A.; Migahed M.A.; AbdEl-Raouf M.; Shin J.; Shaban S.M.; Kim D.-H.; Azab M.M.; Abo-Riya M.A.","El Basiony, N.M. (57208523094); Salim, M.M. (57958388100); Elaraby, A. (57222590930); Elbalaawy, Ahmed Y. (57412217200); Nasser, Ahmed (57210825455); Migahed, M.A. (58995148200); AbdEl-Raouf, M. (7003968106); Shin, Jihoon (57220893058); Shaban, Samy M. (57708859900); Kim, Dong-Hwan (58671599100); Azab, M.M. (7004476989); Abo-Riya, Mohamed A. (56192003300)","57208523094; 57958388100; 57222590930; 57412217200; 57210825455; 58995148200; 7003968106; 57220893058; 57708859900; 58671599100; 7004476989; 56192003300","ρ-Substituted imine cationic surfactants as carbon steel corrosion inhibitors: Experimental and theoretical (DFT and MCs) approaches","2024","43","10.1016/j.molliq.2024.124475","https://www.scopus.com/pages/publications/85188681550?origin=resultslist"
"Liu Y.; Zhang J.; Wei Y.; Wang Z.","Liu, Yuwei (59647234700); Zhang, Jian (59070115400); Wei, Yinghua (12785563800); Wang, Zhenyao (23096008000)","59647234700; 59070115400; 12785563800; 23096008000","Effect of different UV intensity on corrosion behavior of carbon steel exposed to simulated Nansha atmospheric environment","2019","38","10.1016/j.matchemphys.2019.121855","https://www.scopus.com/pages/publications/85068849296?origin=resultslist"
"Zhao R.-F.; Ren B.; Cai B.; Liu Z.-X.; Zhang G.-P.; Zhang J.-J.","Zhao, Rui-Feng (55647230600); Ren, Bo (35293356900); Cai, Bin (57205100750); Liu, Zhong-Xia (7406684218); Zhang, Guo-Peng (57190189851); Zhang, Jian-jian (57203181014)","55647230600; 35293356900; 57205100750; 7406684218; 57190189851; 57203181014","Corrosion behavior of CoxCrCuFeMnNi high-entropy alloys prepared by hot pressing sintered in 3.5% NaCl solution","2019","78","10.1016/j.rinp.2019.102667","https://www.scopus.com/pages/publications/85072580486?origin=resultslist"
"Brushett F.R.; Zhou W.-P.; Jayashree R.S.; Kenis P.J.A.","Brushett, Fikile R. (35489877400); Zhou, Wei-Ping (9248334300); Jayashree, Ranga S. (9846424900); Kenis, Paul J. A. (6701733846)","35489877400; 9248334300; 9846424900; 6701733846","Alkaline microfluidic hydrogen-oxygen fuel cell as a cathode characterization platform","2009","75","10.1149/1.3083226","https://www.scopus.com/pages/publications/63649091820?origin=resultslist"
"Miao Y.; Lee D.T.; de Mello M.D.; Ahmad M.; Abdel-Rahman M.K.; Eckhert P.M.; Boscoboinik J.A.; Fairbrother D.H.; Tsapatsis M.","Miao, Yurun (56516069000); Lee, Dennis T. (57222338172); de Mello, Matheus Dorneles (57202416844); Ahmad, Mueed (57420966900); Abdel-Rahman, Mohammed K. (57194278533); Eckhert, Patrick M. (57420967000); Boscoboinik, J. Anibal (25521245000); Fairbrother, D. Howard (7004543225); Tsapatsis, Michael (7005981012)","56516069000; 57222338172; 57202416844; 57420966900; 57194278533; 57420967000; 25521245000; 7004543225; 7005981012","Solvent-free bottom-up patterning of zeolitic imidazolate frameworks","2022","41","10.1038/s41467-022-28050-z","https://www.scopus.com/pages/publications/85123251971?origin=resultslist"
"Amiri H.; Mohammadi I.; Afshar A.","Amiri, Hamed (57192921130); Mohammadi, Iman (57191797421); Afshar, Abdollah (56260346100)","57192921130; 57191797421; 56260346100","Electrophoretic deposition of nano-zirconia coating on AZ91D magnesium alloy for bio-corrosion control purposes","2017","61","10.1016/j.surfcoat.2016.12.103","https://www.scopus.com/pages/publications/85009107893?origin=resultslist"
"Chan Y.-C.; Chen H.-W.; Chao P.-S.; Duh J.-G.; Lee J.-W.","Chan, Yu-Chen (57011469700); Chen, Hsien-Wei (7501620194); Chao, Pen-Shen (55140039100); Duh, Jenq-Gong (35561165300); Lee, Jyh-Wei (8212936600)","57011469700; 7501620194; 55140039100; 35561165300; 8212936600","Microstructure control in TiAlN/SiNx multilayers with appropriate thickness ratios for improvement of hardness and anti-corrosion characteristics","2013","45","10.1016/j.vacuum.2012.02.052","https://www.scopus.com/pages/publications/84875465279?origin=resultslist"
"Prasai D.; Tuberquia J.C.; Harl R.R.; Jennings G.K.; Bolotin K.I.","Prasai, Dhiraj (36858773200); Tuberquia, Juan Carlos (36104771900); Harl, Robert R. (36607957300); Jennings, G. Kane (7202261134); Bolotin, Kirill I. (12139592500)","36858773200; 36104771900; 36607957300; 7202261134; 12139592500","Graphene: Corrosion-inhibiting coating","2012","1276","10.1021/nn203507y","https://www.scopus.com/pages/publications/84857718091?origin=resultslist"
"Zhang J.; Dai C.; Wei J.; Wen Z.; Zhang S.; Chen C.","Zhang, Jie (59836564800); Dai, Changsong (7202309633); Wei, Jie (59881759600); Wen, Zhaohui (35191302100); Zhang, Shujuan (55737271200); Chen, Chuang (55779315900)","59836564800; 7202309633; 59881759600; 35191302100; 55737271200; 55779315900","Degradable behavior and bioactivity of micro-arc oxidized AZ91D Mg alloy with calcium phosphate/chitosan composite coating in m-SBF","2013","71","10.1016/j.colsurfb.2013.05.040","https://www.scopus.com/pages/publications/84879558917?origin=resultslist"
"Zhang Y.; Tian J.; Zhong J.; Shi X.","Zhang, Yan (57038236100); Tian, Jingwei (57203938903); Zhong, Jing (55179490100); Shi, Xianming (57203312645)","57038236100; 57203938903; 55179490100; 57203312645","Thin Nacre-Biomimetic Coating with Super-Anticorrosion Performance","2018","196","10.1021/acsnano.8b05183","https://www.scopus.com/pages/publications/85053707794?origin=resultslist"
"Bütev Öcal E.; Esen Z.; Aydınol K.; Dericioğlu A.F.","Bütev Öcal, Ezgi (56493148800); Esen, Ziya (15725067800); Aydınol, Kadri (57212035517); Dericioğlu, Arcan F. (6602975604)","56493148800; 15725067800; 57212035517; 6602975604","Comparison of the short and long-term degradation behaviors of as-cast pure Mg, AZ91 and WE43 alloys","2020","67","10.1016/j.matchemphys.2019.122350","https://www.scopus.com/pages/publications/85075790495?origin=resultslist"
"Menthe E.; Rie K.-T.","Menthe, E. (56635752700); Rie, K.-T. (35563481100)","56635752700; 35563481100","Plasma nitriding and plasma nitrocarburizing of electroplated hard chromium to increase the wear and the corrosion properties","1999","84","10.1016/S0257-8972(98)00793-2","https://www.scopus.com/pages/publications/0033080202?origin=resultslist"
"Ravichandran R.; Rajendran N.","Ravichandran, R. (60259608000); Rajendran, N. (57206031474)","60259608000; 57206031474","Influence of benzotriazole derivatives on the dezincification of 65-35 brass in sodium chloride","2005","72","10.1016/j.apsusc.2004.05.145","https://www.scopus.com/pages/publications/10444239461?origin=resultslist"
"Zhang Q.; Wang S.; Zhou Z.; Ma G.; Jiang W.; Guo X.; Zhao S.","Zhang, Qiang (55624487176); Wang, Shumei (36834429100); Zhou, Zhufa (9133542100); Ma, Guilin (7202153011); Jiang, Wenwen (59875140600); Guo, Xinshuang (59853148600); Zhao, Song (54407808000)","55624487176; 36834429100; 9133542100; 7202153011; 59875140600; 59853148600; 54407808000","Structural and electrochemical properties of Nd-doped LiFePO4/C prepared without using inert gas","2011","52","10.1016/j.ssi.2011.03.025","https://www.scopus.com/pages/publications/79956084561?origin=resultslist"
"Al-Mobarak N.A.; Al-Mayouf A.M.; Al-Swayih A.A.","Al-Mobarak, N.A. (6508245664); Al-Mayouf, A.M. (6701894262); Al-Swayih, A.A. (6507410496)","6508245664; 6701894262; 6507410496","The effect of hydrogen peroxide on the electrochemical behavior of Ti and some of its alloys for dental applications","2006","39","10.1016/j.matchemphys.2005.10.032","https://www.scopus.com/pages/publications/33747886043?origin=resultslist"
"Lim A.B.Y.; Neo W.J.; Yauw O.; Chylak B.; Gan C.L.; Chen Z.","Lim, Adeline B.Y. (55787073000); Neo, Wei Jian (57015034100); Yauw, Oranna (7801582439); Chylak, Bob (55885223400); Gan, Chee Lip (7006659513); Chen, Zhong (7409485241)","55787073000; 57015034100; 7801582439; 55885223400; 7006659513; 7409485241","Evaluation of the corrosion performance of Cu-Al intermetallic compounds and the effect of Pd addition","2016","41","10.1016/j.microrel.2015.10.012","https://www.scopus.com/pages/publications/84954077079?origin=resultslist"
"Gawad S.A.; Nasr A.; Fekry A.M.; Filippov L.O.","Gawad, Soha Abdel (8209043600); Nasr, Ahmed (57214945727); Fekry, Amany M. (6602466528); Filippov, Lev O. (7005407446)","8209043600; 57214945727; 6602466528; 7005407446","Electrochemical and hydrogen evolution behaviour of a novel nano-cobalt/nano-chitosan composite coating on a surgical 316L stainless steel alloy as an implant","2021","38","10.1016/j.ijhydene.2021.03.018","https://www.scopus.com/pages/publications/85103720179?origin=resultslist"
"Xu C.; Zhang Y.; Cheng G.; Zhu W.","Xu, Congmin (15066180500); Zhang, Yaoheng (15066265900); Cheng, Guangxu (7401862436); Zhu, Wensheng (15066232600)","15066180500; 15066265900; 7401862436; 15066232600","Pitting corrosion behavior of 316L stainless steel in the media of sulphate-reducing and iron-oxidizing bacteria","2008","119","10.1016/j.matchar.2007.01.001","https://www.scopus.com/pages/publications/38149086677?origin=resultslist"
"Moraes F.C.; Cabral M.F.; Mascaro L.H.; MacHado S.A.S.","Moraes, F.C. (35622281900); Cabral, M.F. (16199548300); Mascaro, L.H. (7004117269); MacHado, S.A.S. (35311396100)","35622281900; 16199548300; 7004117269; 35311396100","The electrochemical effect of acid functionalisation of carbon nanotubes to be used in sensors development","2011","67","10.1016/j.susc.2010.11.014","https://www.scopus.com/pages/publications/78651262857?origin=resultslist"
"Wang Y.; Cui L.-Y.; Zeng R.-C.; Li S.-Q.; Zou Y.-H.; Han E.-H.","Wang, Yu (57221510501); Cui, Lan-Yue (57109713800); Zeng, Rong-Chang (22636567500); Li, Shuo-Qi (37860905200); Zou, Yu-Hong (56517401900); Han, En-Hou (7101875388)","57221510501; 57109713800; 22636567500; 37860905200; 56517401900; 7101875388","In vitro degradation of pure magnesium-The effects of glucose and/or amino acid","2017","54","10.3390/ma10070725","https://www.scopus.com/pages/publications/85021627715?origin=resultslist"
"QIU Z.-M.; ZENG R.-C.; ZHANG F.; SONG L.; LI S.-Q.","QIU, Zai-meng (57208238847); ZENG, Rong-chang (22636567500); ZHANG, Fen (55487137700); SONG, Liang (59593422400); LI, Shuo-qi (37860905200)","57208238847; 22636567500; 55487137700; 59593422400; 37860905200","Corrosion resistance of Mg−Al LDH/Mg(OH)2/silane−Ce hybrid coating on magnesium alloy AZ31","2020","76","10.1016/S1003-6326(20)65435-8","https://www.scopus.com/pages/publications/85098466115?origin=resultslist"
"Gao Y.; Zhao L.; Yao X.; Hang R.; Zhang X.; Tang B.","Gao, Yue'e (59809291700); Zhao, Lianfu (57200618097); Yao, Xiaohong (36678444100); Hang, Ruiqiang (15750661200); Zhang, Xiangyu (60022510000); Tang, Bin (55185495300)","59809291700; 57200618097; 36678444100; 15750661200; 60022510000; 55185495300","Corrosion behavior of porous ZrO2 ceramic coating on AZ31B magnesium alloy","2018","47","10.1016/j.surfcoat.2018.06.018","https://www.scopus.com/pages/publications/85048836342?origin=resultslist"
"Abdallah M.; Sobhi M.; Al-Tass H.M.","Abdallah, M. (55976327800); Sobhi, M. (59668418700); Al-Tass, H.M. (57103782100)","55976327800; 59668418700; 57103782100","Corrosion inhibition of aluminum in hydrochloric acid by pyrazinamide derivatives","2016","75","10.1016/j.molliq.2016.09.006","https://www.scopus.com/pages/publications/84988354018?origin=resultslist"
"Wang Y.; Zhang D.","Wang, Yi (55902725300); Zhang, Dun (7405360482)","55902725300; 7405360482","Synthesis, characterization, and controlled release anticorrosion behavior of benzoate intercalated Zn-Al layered double hydroxides","2011","91","10.1016/j.materresbull.2011.07.021","https://www.scopus.com/pages/publications/80052850374?origin=resultslist"
"Flis J.; Zakroczymski T.","Flis, J. (7003299166); Zakroczymski, T. (7004240322)","7003299166; 7004240322","Impedance study of reinforcing steel in simulated pore solution with tannin","1996","183","10.1149/1.1837031","https://www.scopus.com/pages/publications/0030214854?origin=resultslist"
"Zhu Q.; Li Y.; Cao F.; Qiu D.; Yang Y.; Wang J.; Zhang H.; Ying T.; Ding W.; Zeng X.","Zhu, Qingchun (58093379500); Li, Yangxin (56075902400); Cao, Fuyong (55771199800); Qiu, Dong (25959377800); Yang, Yao (57190702573); Wang, Jingya (57202343162); Zhang, Huan (57216240998); Ying, Tao (36912817800); Ding, Wenjiang (58903339600); Zeng, Xiaoqin (7403248086)","58093379500; 56075902400; 55771199800; 25959377800; 57190702573; 57202343162; 57216240998; 36912817800; 58903339600; 7403248086","Towards development of a high-strength stainless Mg alloy with Al-assisted growth of passive film","2022","219","10.1038/s41467-022-33480-w","https://www.scopus.com/pages/publications/85139158694?origin=resultslist"
"Adekunle A.S.; Agboola B.O.; Pillay J.; Ozoemena K.I.","Adekunle, Abolanle S. (23988486300); Agboola, Bolade O. (6507488299); Pillay, Jeseelan (14054611100); Ozoemena, Kenneth I. (6603505862)","23988486300; 6507488299; 14054611100; 6603505862","Electrocatalytic detection of dopamine at single-walled carbon nanotubes-iron (III) oxide nanoparticles platform","2010","167","10.1016/j.snb.2010.03.088","https://www.scopus.com/pages/publications/77953914501?origin=resultslist"
