UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S0017931024005039-ga1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/ga1/DOWNSAMPLED/image/jpeg/1666d8841f7498488dcc30fcafc3b724/ga1.jpg,ga1.jpg,"Illustration of the setup for the droplet-impact tests. For the non-isothermal impact, a mirror was placed below the transparent substrate to observe the bottom surface of the impacted droplet with a high-speed camera.",https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-ga1_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr20.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr20/DOWNSAMPLED/image/jpeg/721a26be5957e94336dc338d10db6e1b/gr20.jpg,gr20.jpg,Horizontal view of isothermal impact during the initial 30 ms.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr20_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr10/DOWNSAMPLED/image/jpeg/aaddef74b08ffef75dec7e947a3500af/gr10.jpg,gr10.jpg,Horizontal view of non-isothermal impact during the initial 30 ms.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr10_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr6/DOWNSAMPLED/image/jpeg/4c1af95fbdf469f66b612ad740ac16ab/gr6.jpg,gr6.jpg,Definitions of the spreading factor and dimensionless height.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr6_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr11.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr11/DOWNSAMPLED/image/jpeg/ea0c15d35975bc931ebf52dd39cc7e5f/gr11.jpg,gr11.jpg,Experimental results of the time evolutions of the spreading factor.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr11_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr7/DOWNSAMPLED/image/jpeg/a88c52a662923c8be28cdbdcba1dec8e/gr7.jpg,gr7.jpg,Experimental results of the time evolution of the dimensionless height.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr7_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr12.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr12/DOWNSAMPLED/image/jpeg/0a413ae8071d437d8eaf0ed8291faf9c/gr12.jpg,gr12.jpg,Final geometries of the solidified splats under non-isothermal impact for droplet temperatures of (a) 95 °C and (b) 123 °C.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr12_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr4/DOWNSAMPLED/image/jpeg/d83d75ce9d08c2d61fe9e1e52516dad1/gr4.jpg,gr4.jpg,Photographs at the bottom surface of impacted splats. The splat changed from black to white during solidification.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr4_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr13.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr13/DOWNSAMPLED/image/jpeg/a2d6ad68197f626e91da3271f18dab61/gr13.jpg,gr13.jpg,Time evolutions of the gray values at the center of the bottom surface of the splat under non-isothermal impact for droplet temperatures of (a) 123 °C and (b) 95 °C.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr13_lrg.jpg,0,,,,,
1-s2.0-S0017931024005039-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0017931024005039/gr5/DOWNSAMPLED/image/jpeg/6f268038bda008d35b4a3bb65140744c/gr5.jpg,gr5.jpg,(a) Axis-symmetrical numerical model and (b) a typical mesh distribution.,https://ars.els-cdn.com/content/image/1-s2.0-S0017931024005039-gr5_lrg.jpg,0,,,,,
