Caption,Filename,UCS Locator,UTD EID,contains_keywords,contains_keywords2,found_keywords,link,text
The flat plate model underneath the suspended sphere model toghether with antennas in the background.,gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr1/DOWNSAMPLED/image/jpeg/3b4f7680bc4a17f64c3a15a119d14d1f/gr1.jpg,1-s2.0-S1270963826000635-gr1.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr1_lrg.jpg,
"A 3D visualization of the test setup with annotations: (1) radar antennas, (2) sphere model, (3) wind tunnel nozzle, (4) access door with windows, (5) additional access, (6) test section continuation, (7) rail positioning system.",gr17.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr17/DOWNSAMPLED/image/jpeg/1e4687aeb32ced468fa8218a469a1840/gr17.jpg,1-s2.0-S1270963826000635-gr17.jpg,1,0.0,"nozzle, wind tunnel",https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr17_lrg.jpg,"x 1017 shot 1 (Hit. OR1. 5) 3 x 1027 shot 2 (H9. 8R2.2)

ra measured plasma feauency

a
a
oS

Ol

oo

ws
abundance [cells/bin]

 

""g
aa
—,
>
a)
—
DM
q
oO
;o
q
°
oy
~
oO
oO
eS
oO

abundance [cells /bin]
electron density [1/m?|

iw)

5 : : : 0 7 5 : 5
500 1000 1500 2000 500 1000 1500 2000
Doppler velocity [m/s] Doppler velocity [m/s]

 
"
Backscatter range profiles to localize the sphere (Frequency range: 3 GHz to 15 GHz).,gr18.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr18/DOWNSAMPLED/image/jpeg/7022722a8311d3392bc183351d695859/gr18.jpg,1-s2.0-S1270963826000635-gr18.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr18_lrg.jpg,
Example solution of the flow around the sphere for the H11.9R1.5 free stream conditions.,gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr7/DOWNSAMPLED/image/jpeg/f02754e3abb362aae497adfd4724bf9f/gr7.jpg,1-s2.0-S1270963826000635-gr7.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr7_lrg.jpg,
The maximum affected frequency for all CFD cells from the cases H11.9R1.5 and H9.8R2.2 combined.,gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr6/DOWNSAMPLED/image/jpeg/0c3b2565ede93bd4ccec1152fd9821d2/gr6.jpg,1-s2.0-S1270963826000635-gr6.jpg,1,0.0,cfd,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr6_lrg.jpg,"iso Th. 9)

SN
i.
So
Pp
5
S
d
3
oO
®
ra
Sg
g
n
J
O
5

_—_— —— fo->-Bfp-
shee ae) 2 ;

 
"
Regions with collision dominated plasma lie outside the coreflow around the sphere.,gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr9/DOWNSAMPLED/image/jpeg/9796e1cac02aa6e9ef5938d192539fbc/gr9.jpg,1-s2.0-S1270963826000635-gr9.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr9_lrg.jpg,
Interpretation of radar range profiles.,gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr8/DOWNSAMPLED/image/jpeg/9918da252b331901b62ecb5ebbc42f7f/gr8.jpg,1-s2.0-S1270963826000635-gr8.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr8_lrg.jpg,
"Example for ropelike structures observed in shot 1. Here, strongest effects are encountered between 0.27 ms and 0.37 ms. Where not visible their orientation is sketched in red. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article).",gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr3/DOWNSAMPLED/image/jpeg/a8af93f8f54849e48ca9e1d6a84953e0/gr3.jpg,1-s2.0-S1270963826000635-gr3.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr3_lrg.jpg,
The measured backscatter for each experiment in the frequency range 8 GHz to 15 GHz. The data is normalized to the back reflection peak at 0.91 m and multiplied with its value measured in the anechoic chamber. The white lines indicate the test time.,gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr2/DOWNSAMPLED/image/jpeg/3a0ea3cc2d92d2c5dac309aa109c6ed2/gr2.jpg,1-s2.0-S1270963826000635-gr2.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr2_lrg.jpg,
"Comparison of measured (incoherent average, Eq. (16)) and simulated backscatter range profiles in the frequency range 8 GHz to 15 GHz before and during the test time.",gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr5/DOWNSAMPLED/image/jpeg/7b3c2bb6585c7fbef9e9216f1f454964/gr5.jpg,1-s2.0-S1270963826000635-gr5.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr5_lrg.jpg,
"Comparison of measured (coherent average, Eq. (17)) and simulated backscatter range profiles in the frequency range 8 GHz to 15 GHz before and during the test time.",gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr4/DOWNSAMPLED/image/jpeg/4df29f723609484262ccf7d60fb50c1b/gr4.jpg,1-s2.0-S1270963826000635-gr4.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr4_lrg.jpg,
"The effect of the variation of the plasma and collision frequency on the front peak and rear peak values in the text referred 0.77 m and 0.91 m, respectively. The legend is split across the four subplots for better readability. The sensitivity line graphs display the results of the plasma and collision frequency distributions multiplied by the factors next to it.",gr15.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr15/DOWNSAMPLED/image/jpeg/270137ef9059e984c6833bfca2fd1cc5/gr15.jpg,1-s2.0-S1270963826000635-gr15.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr15_lrg.jpg,
The averaged Doppler map during the test time in the 8 GHz to 15 GHz band. The Doppler axis was calculated for 10.4 GHz.,gr16.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr16/DOWNSAMPLED/image/jpeg/51c51539a2646aad94cd2e1b4359f07c/gr16.jpg,1-s2.0-S1270963826000635-gr16.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr16_lrg.jpg,
"The simulated plasma frequency distrbution (top). The real part of the refractive index with relative velocities larger than 500 m s − 1 and refractive index values beyond [0.9,1.1] (center). The measured reflection area A(x, y) for experiments 1 and 2 for 8 GHz to 15 GHz compared to the respective electron density simulations (bottom).",gr13.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000635/gr13/DOWNSAMPLED/image/jpeg/7ee3b052bd9f340d456f195333d9e379/gr13.jpg,1-s2.0-S1270963826000635-gr13.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000635-gr13_lrg.jpg,
