UTD EID,UCS Locator,Filename,Caption,link,contains_keywords,found_keywords
1-s2.0-S1270963825015196-gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr9/DOWNSAMPLED/image/jpeg/96f0a24cb2ade5853eea68bf79250876/gr9.jpg,gr9.jpg,Model of the telescope tracking mechanism. (a) 3D Model. (b) Schematic diagram of single MOSA rotation.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr9_lrg.jpg,0,
1-s2.0-S1270963825015196-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr6/DOWNSAMPLED/image/jpeg/7a510bfee4db1cdbe95f84a4f1039b30/gr6.jpg,gr6.jpg,Experimental Testing Device for Linear Actuator Drive System. (a) Setup. (b) Configuration.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr6_lrg.jpg,0,
1-s2.0-S1270963825015196-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr5/DOWNSAMPLED/image/jpeg/1597ae07e53dd1439e52290fc4ac220a/gr5.jpg,gr5.jpg,Working principle of linear actuators and schematic diagram of its single-leg linear actuator [44].,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr5_lrg.jpg,0,
1-s2.0-S1270963825015196-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr8/DOWNSAMPLED/image/jpeg/016416d6153301f8e21b9e7adc5bfb09/gr8.jpg,gr8.jpg,Dynamic linear model of linear actuator drive system.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr8_lrg.jpg,0,
1-s2.0-S1270963825015196-gr14.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr14/DOWNSAMPLED/image/jpeg/393db9b558127dbc78e3920e98d81461/gr14.jpg,gr14.jpg,Comparison of identified model data and actual measurement data in the linear actuator system.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr14_lrg.jpg,0,
1-s2.0-S1270963825015196-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr7/DOWNSAMPLED/image/jpeg/ab426890d1eb3fb580da3a1fdefebb7c/gr7.jpg,gr7.jpg,Shows the noise floor of the capacitive sensor. (a) sensor1. (b) sensor2.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr7_lrg.jpg,0,
1-s2.0-S1270963825015196-gr15.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr15/DOWNSAMPLED/image/jpeg/9320be1283a7df84424b7d34fc02a737/gr15.jpg,gr15.jpg,Analyzes the electronic disturbance noise.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr15_lrg.jpg,0,
1-s2.0-S1270963825015196-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr2/DOWNSAMPLED/image/jpeg/362b93a347e032cfe8bb1048662c8baa/gr2.jpg,gr2.jpg,Temperature noise in the laboratory.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr2_lrg.jpg,0,
1-s2.0-S1270963825015196-gr12.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr12/DOWNSAMPLED/image/jpeg/0bdfc62f7299d218bb857aa918cdb819/gr12.jpg,gr12.jpg,Control structure diagram of the linear actuator drive system.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr12_lrg.jpg,0,
1-s2.0-S1270963825015196-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr1/DOWNSAMPLED/image/jpeg/7e796aa9a4fb1b5c890664dd2a4983be/gr1.jpg,gr1.jpg,"(a)The frequency response of the S 0(s), T 0(s), WS 0(s) and WT 0(s). (b) Robust stability.",https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr1_lrg.jpg,0,
1-s2.0-S1270963825015196-gr13.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr13/DOWNSAMPLED/image/jpeg/a3190aac830101f3b8069cc5199301f6/gr13.jpg,gr13.jpg,Feedback control system with disturbance observer.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr13_lrg.jpg,0,
1-s2.0-S1270963825015196-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr4/DOWNSAMPLED/image/jpeg/b8e885438424d9d65855dbfe2304ebb4/gr4.jpg,gr4.jpg,The robust stability of the linear actuator drive system.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr4_lrg.jpg,0,
1-s2.0-S1270963825015196-gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr10/DOWNSAMPLED/image/jpeg/174b4c458b392a7e50d617930ab38c3a/gr10.jpg,gr10.jpg,The control performance of different control methods. (a) PI controller. (b) H∞ controller. (C) HODOB base PI. (b) HODOB base H.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr10_lrg.jpg,0,
1-s2.0-S1270963825015196-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr3/DOWNSAMPLED/image/jpeg/8329d6ac5062df49beff8476d539cf24/gr3.jpg,gr3.jpg,The control performance of different control methods. (a) Tracking error. (b) The ASD of the tracking error.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr3_lrg.jpg,0,
1-s2.0-S1270963825015196-gr11.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825015196/gr11/DOWNSAMPLED/image/jpeg/0aaf026dca2c98ca984751580a6aef13/gr11.jpg,gr11.jpg,Control performance under sinusoidal trajectories with different periods. (a) Tracking error. (b) The ASD of the tracking error.,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825015196-gr11_lrg.jpg,0,
