Caption,Filename,UCS Locator,UTD EID,contains_keywords,contains_keywords2,found_keywords,link,text
"Waverider parameterization and coordinate system, and sample geometry for the parameter set w = 0.3 ℓ , n = 0.5 , β = 9 ∘ , ε = 0 , p 1 = p 2 = p 3 = 1 .",gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr10/DOWNSAMPLED/image/jpeg/1ded9cd3606d8688d65aefba07fa72b9/gr10.jpg,1-s2.0-S1270963826000842-gr10.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr10_lrg.jpg,
Sample of various possible waverider geometries using the perturbation methodology.,gr13.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr13/DOWNSAMPLED/image/jpeg/5878e2ff44d7542106f43605f577370b/gr13.jpg,1-s2.0-S1270963826000842-gr13.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr13_lrg.jpg,
"Analytical model L/D grid refinement study for Mach 7 at 30 km, showing the error relative to the 4.3 × 105 panel surface mesh and some of the coarsest tested geometries.",gr14.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr14/DOWNSAMPLED/image/jpeg/0a8547bccc629feed73441404f82a5ea/gr14.jpg,1-s2.0-S1270963826000842-gr14.jpg,1,2.0,"mach, mesh, grid",https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr14_lrg.jpg,"oO
ol

30

Altitude, h |km|

Angle-of-attack, a [deg]
°

on

OPT=ana/AERO=ana OPT=CFD/AERO=ana
- --- OPT=ana/AERO=CFD - - - - OPT=CFD/AERO=CFD

500 1000 1500 2000
Range, x [km]

(a) Altitude vs. downrange

OPT=ana/AERO=ana OPT=CFD/AERO=ana
- --- OPT=ana/AERO=CFD - - - - OPT=CFD/AERO=CFD

 

2500

 

oO

500 1000 1500 2000
Range, x [km]

(b) Angle of attack vs. downrange

2500
"
"Computational fluid dynamics L/D grid refinement study for Mach 7 at 30 km, showing the error relative to the 3.3 × 107 cell volume mesh and a typical adapted Cartesian grid (showing blocks, not cells) around the surface and the nosetip, with R / ℓ = 0.25 % .",gr11.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr11/DOWNSAMPLED/image/jpeg/ee396b3bb1d7103ece4f28e497b2adce/gr11.jpg,1-s2.0-S1270963826000842-gr11.jpg,1,2.0,"mach, mesh, grid",https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr11_lrg.jpg," 

 

— Analytical, R/ = 0.25%
3 0.25 fF | essen 1o-- CHAMPS+, R/f = 0.25%
oS
uw 0.2
5
5 0.15
5
9 0.1
5 0.05 |
0

 

ho

0 2 4 6
Angle of attack, a [deg]

(a) Analytical-model-optimized lift coefficient

 

0.1 : : ,

7 Analytical, R/£ = 0.25%
5 0.08 wens Orv CHAMPS4, R/é = 0.25%
S

8 0.06

oO

5 0.04

oO

©

= 0.02

Sy ‘

A

 

-2 0 2 4 6
Angle of attack, a [deg]

(c) Analytical-model-optimized drag coefficient

Lift coefficient, Cz, [-]

Drag coefficient, Cp [-]

 

Analytical, R/€ = 0.25%
- -o - CHAMPS+, R/£ = 0.25%

 

 

-2 0 2 4 6
Angle of attack, a [deg]

(b) Euler-CFD-optimized lift coefficient

 

 

   

0.08 | |- ~& - CHAMPS+, R/é = 0.25%
0.06
0.04
0.02

-2 0 2 4 6
Angle of attack, a [deg]

(d) Euler-CFD-optimized drag coefficient

 

 
"
"Convergence history of the pattern search optimization lift-to-drag ratio versus pattern search iteration for waveriders optimized for ℓ = 40 m, R = 0.1 m, M = 6.85 , h = 25 km, α = 0 ∘ . Each iteration consists of multiple function evaluations with varying search grid sizes.",gr12.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr12/DOWNSAMPLED/image/jpeg/736f637e36deec5c996748d32970a498/gr12.jpg,1-s2.0-S1270963826000842-gr12.jpg,1,0.0,"lift, drag, grid",https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr12_lrg.jpg," 
"
"Pattern search Pareto front of L/D and η vol using the analytical model; Mach 7.5, h = 30 km.",ga1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/ga1/DOWNSAMPLED/image/jpeg/0c754a2324961af36475bae872fd7ce6/ga1.jpg,1-s2.0-S1270963826000842-ga1.jpg,1,2.0,mach,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-ga1_lrg.jpg," 

Analytical-model-optimized geometry

—

Pressure [Pa]
— 8000

 

Euler-CFD-optimized geometry
"
"Optimized lift-to-drag ratio for different sets of optimization variables at Mach 6.85, 25 km altitude. Comparing 3 variables (standard planar waverider), 4 variables (with longitudinal curvature), and 7 variables (with spanwise perturbations).",gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr9/DOWNSAMPLED/image/jpeg/0c18a1c3be56188f26790414d930c88d/gr9.jpg,1-s2.0-S1270963826000842-gr9.jpg,1,2.0,"mach, lift, drag",https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr9_lrg.jpg,"   

 

7
A
~—
mS
g
$
a
et
a Analytical, R/€ = 0.25%
5 2b Jane ou» CHAMPS+, R/é = 0.25%
7s Analytical, R/€ = 1%
pa CHAMPS4, R/é = 1%
— 1 1 4

-2 0 2 4 6
Angle of attack, a [deg]

(a) Analytical-model-optimized, M,.. = 10,h = 35 km

 

o1

J. Analytical, R/€ = 0.25%
ep o--» CHAMPS4+, R/£ = 0.25%
Analytical, R/£ = 1%
vessel »--- CHAMPS+, R/€ = 1%

1 1 1

-2 0 2 4 6
Angle of attack, a [deg]

 

Lift-to-drag ratio, L/D [-|
oo

—

(c) Analytical-model-optimized, M. = 6.85, h = 25 km

 

ol

&

 

Analytical, R/£ = 0.25%
seeee o---» CHAMPS+, R/é = 0.25%

Analytical, R/£ = 1%
a »--- CHAMPS+, R/£ = 1%

Nh

Lift-to-drag ratio, L/D [-]
©

 

—

-2 0 2 4 6
Angle of attack, a [deg]

(e) Analytical-model-optimized, M,. = 4,h = 15 km

 

Analytical, R/£ = 0.25%

  

2 | - -o - CHAMPS+, R/é = 0.25% |}
Analytical, R/£ = 1%
- -~ - CHAMPS+, R/£ = 1%

 

 

 

 

Lift-to-drag ratio, L/D [-]

-2 0 2 4 6
Angle of attack, a [deg]

(b) Euler-CFD-optimized, M.. = 10,4 = 35 km

 

ol
7
a

Analytical, R/£ = 0.25%
- -o - CHAMPS4+4, R/é = 0.25%
Analytical, R/£ = 1%
~ -> - CHAMPS+, R/é = 1%

1 L n 1 n a

-2 0 2 4 6
Angle of attack, a [deg]

 

 

Lift-to-drag ratio, L/D [-]

 

 

(d) Euler-CFD-optimized, M.. = 6.85, h = 25 km

 

o1
+
a

   

 

    

Analytical, R/£ = 0.25%
- -o - CHAMPS4+, R/é = 0.25%
Analytical, R/£ = 1%

- -» - CHAMPS+, R/£ = 1%

 
   

 

   

 

 

Lift-to-drag ratio, L/D |[-|
©

 

 

-2 0 2 4 6
Angle of attack, a [deg]

(f) Euler-CFD-optimized, M.. = 4,h = 15 km
"
"Waveriders optimized for ℓ = 40 m, R = 0.1 m, M = 6.85 , h = 25 km, α = 0 ∘ analytical-model-optimized (left) and Euler-CFD-optimized (right).",gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr8/DOWNSAMPLED/image/jpeg/e5d00be45b6412da88da645ab75abb64/gr8.jpg,1-s2.0-S1270963826000842-gr8.jpg,1,0.0,cfd,https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr8_lrg.jpg," 
"
"Lift-to-drag ratio versus angle of attack computed using the analytical model (solid lines) and Euler CFD (dashed lines) at on- and off-design Mach numbers and varying leading edge bluntness ratio, for vehicles optimized at Mach 6.85, 25 km altitude.",gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr5/DOWNSAMPLED/image/jpeg/daa0fd8340ff83d56d9c1da576621a5a/gr5.jpg,1-s2.0-S1270963826000842-gr5.jpg,1,2.0,"mach, lift, drag, cfd",https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr5_lrg.jpg,"Lift-to-drag ratio, L/D |-|

ow
©0

Rh oO @® N

Neg
wo

20

40

Analytical pressure model
-— - - - CHAMPS+ Euler CFD

 

60 80 100
Number of Iterations

120
"
"Force data computed using Euler CFD at on and off-design Mach numbers and R / ℓ = 0.25 %, for vehicles optimized at Mach 6.85, 25 km altitude.",gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963826000842/gr4/DOWNSAMPLED/image/jpeg/a958f2bcb74873ee0c2a245ae952a262/gr4.jpg,1-s2.0-S1270963826000842-gr4.jpg,1,2.0,"mach, cfd",https://ars.els-cdn.com/content/image/1-s2.0-S1270963826000842-gr4_lrg.jpg,"Error

10%

1%

0.1%
10°

—e6— Grid Convergence
A Chosen resolution
10® 3.23x10® 107
Number of volume cells

 
"
