Caption,Filename,UCS Locator,UTD EID,contains_keywords,contains_keywords2,found_keywords,link,text
Control Volume and Boundary Conditions.,gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr1/DOWNSAMPLED/image/jpeg/cbc2643fbbac724082e77e5577d65fb7/gr1.jpg,1-s2.0-S1270963825012222-gr1.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr1_lrg.jpg,
Meshed Control Volume.,gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr6/DOWNSAMPLED/image/jpeg/f27bb4ae2a409500526d97feeb2522a5/gr6.jpg,1-s2.0-S1270963825012222-gr6.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr6_lrg.jpg,
Patching Region during RDE Numerical Ignition.,gr15.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr15/DOWNSAMPLED/image/jpeg/411a3f0193a80dd5f8fb4a9be7dc5989/gr15.jpg,1-s2.0-S1270963825012222-gr15.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr15_lrg.jpg,
Relevant phenomena during startup (part 1).,gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr7/DOWNSAMPLED/image/jpeg/d60aaf8c27f11001feacd86b44138ebf/gr7.jpg,1-s2.0-S1270963825012222-gr7.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr7_lrg.jpg,
Relevant phenomena during startup (part 2).,gr16.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr16/DOWNSAMPLED/image/jpeg/0af9366b4c56f0e0f4ce60b365f53923/gr16.jpg,1-s2.0-S1270963825012222-gr16.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr16_lrg.jpg,
Pressure at measuring points during start-up.,gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr8/DOWNSAMPLED/image/jpeg/db0b0c4ab139ed2ddfa0d29ee54ddf47/gr8.jpg,1-s2.0-S1270963825012222-gr8.jpg,1,2.0,pressure,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr8_lrg.jpg,"Mass Flow Rate (kg/s)

N
w

N

uw

a

©
wn

----- Inlet Mass flow Rate

Outlet Mass Flow Rate

 

 

500

1000

 

1500 2000 2500 3000 3500 4000 4500 5000 5500 6000 6500 7000 7500 8000
Timestep
"
Temperature at measuring points during start-up.,gr13.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr13/DOWNSAMPLED/image/jpeg/4e06d56227c7b72b125475f03b36ab66/gr13.jpg,1-s2.0-S1270963825012222-gr13.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr13_lrg.jpg,
Mass flow rate through the boundary conditions (inlet and outlet) during startup.,gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr9/DOWNSAMPLED/image/jpeg/71d5bc2ae9065f0f047827b8a120bebb/gr9.jpg,1-s2.0-S1270963825012222-gr9.jpg,1,2.0,inlet,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr9_lrg.jpg,"2250

N
So
So
Oo

1750

1500

1250

1000

750

500

250

Velocity (m/s) and Temperature (K)

oO

500

1000

— Outlet Axial Velocity —— Outlet Temperature Outlet Pressure

 

1500 2000 2500 3000 3500 4000 4500 5000 5500 6000 6500 7000 7500 98000
Timestep

550000
500000
450000
400000
350000
300000
250000
200000
150000
100000

50000

Presure (Pa)

 
"
"Averaged pressure, axial velocity and temperature at the outlet during startup.",gr14.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr14/DOWNSAMPLED/image/jpeg/a18ed375988d72b92345c5b390c879ec/gr14.jpg,1-s2.0-S1270963825012222-gr14.jpg,1,2.0,pressure,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr14_lrg.jpg,"10

0.75
0.74 —— Inlet Mass flow Rate

wo73 —— Outlet Mass Flow Rate

Bo72

7

£0.71
oO

a
0.7
3

Gon | Wisgtt my

oO
= 0.67

0.66

HT TE

TT

mT wn

0.65
8300 8550 8800 3050 9300 9550 9800 10050 10300 10550 10800 11050

 

Timestep

0.72
—— Inlet Mass flow Rate

| —— Outlet Mass Flow Rate
men WU

Mass Flow Rate (kg/s)
os 8 8 8 ys
S f& & B&B 3

S
a

0.58 - - - - - —- - - - - - -
8300 8550 8800 9050 9300 9550 9800 10050 10300 10550 10800 11050 11300 11550 11800 12050 12300 12550 12800

Timestep

— Inlet Mass flow Rate

 

Outlet Mass Flow Rate

S
n
wn

Mass Flow Rate (kg/s)
o
a

0.45

 

0.4
8300 8600 8900 9200 9500 9800 10100 10400 10700 11000 11300 11600 11900 12200 12500 12800 13100 13400 13700

Timestep

 

0.71

—— Inlet Mass flow Rate
0.66

-_ —— Outlet Mass Flow Rate
% 0.61

0.56
a

3
£0.51

3

5 0.46
cz
9 0.41

oc
= 0.36

0.31

 

0.26
8300 8600 8900 9200 9500 9800 10100 10400 10700 11000 11300 11600 11900 12200 12500 12800

Timestep

0.74 —— Inlet Mass flow Rate

—0.73 —— Outlet Mass Flow Rate

 

8300 8550 8800 9050 9300 9550 9800 10050 10300 10550 10800 11050
Timestep

°
Ny
z

—— Inlet Mass flow Rate

S
Sy
]

—— Outlet Mass Flow Rate

S
N

eo
DD
a

Mass Flow Rate (kg/s)
° °
g &

0.62

 

 

8300 8550 8800 9050 9300 9550 9800 10050 10300 10550 10800 11050 11300 11550 11800 12050 12300 12550 12800
Timestep

—— Inlet Mass flow Rate
0.65

Outlet Mass Flow Rate

Mass Flow Rate (kg/s)
s & &

Ss
>
a

 

 

04
8300 8550 8800 9050 9300 9550 9800 10050 10300 10550 10800 11050 11300 11550 11800 12050 12300 12550

Timestep

—— Inlet Mass flow Rate
0.65

0.6 —— Outlet Mass Flow Rate

Mass Flow Rate (kg/s)

°
w
a

S
iw

 

0.25
8300 8600 8900 9200 9500 9800 10100 10400 10700 11000 11300 11600 11900 12200 12500 12800 13100 13400

Timestep
"
Thrust and specific impulse during startup.,gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1270963825012222/gr2/DOWNSAMPLED/image/jpeg/976cf06985051201fb8d0690d25054c8/gr2.jpg,1-s2.0-S1270963825012222-gr2.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S1270963825012222-gr2_lrg.jpg,
